Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Gene_Interaction_Hubs_BioGRID_2018	OPI3	41/600	9.72004607e-08	1.5128965828e-06	0.878603522808934	0.9999969718970356	-1.5291140592305854	24.689825455667208	CDS1;UBC8;YPR022C;PRR2;USA1;HLJ1;SPC2;YOR114W;GPI1;DPL1;CNN1;MTC2;AIM44;VPS5;BEM4;EMC1;CCW12;SET3;EMC3;VPS54;ISC1;YNR021W;VPS17;MTC6;SPT21;ALG8;ZRG8;COG6;RTS1;ASK1;IDH1;SEY1;ERP1;PER1;RSC9;CHK1;SUB1;SCS3;VPS64;VAM10;FRE8
Gene_Interaction_Hubs_BioGRID_2018	ROM2	51/778	9.8270918e-09	2.191220641e-07	0.9489494012634768	0.9999969718970356	-1.3389859366631056	24.68838712000896	RRP6;ISY1;GIS4;SHE4;ARF1;DAT1;OPI3;GPI1;BEM4;YOR385W;CCW12;SET3;SUR7;CET1;CYK3;HOS1;YKL075C;PHM8;FPS1;PRM7;DIG1;MUD2;WHI2;IDS2;EMW1;FMT1;RSM25;YPR078C;SPC2;SMA2;NUP82;DPL1;AIM44;YNL010W;SBP1;BCK2;VPS55;VPS54;YGL036W;GCR2;ACT1;RGC1;CCZ1;SRB2;RAT1;ERP1;PER1;GPB2;IES1;AIM39;YSW1
Gene_Interaction_Hubs_BioGRID_2018	TPS2	41/566	1.95063167e-08	3.832701538e-07	0.7793544603875413	0.9999969718970356	-1.3823948518919429	24.541002609055155	WAR1;HLR1;HKR1;GSY2;ALD4;NST1;NPR2;TSR3;RRD2;OPI3;QRI1;ADF1;YLR177W;VPS71;BIO4;ORC6;SGT2;RMD9;YDR387C;VPS55;ESC1;PMU1;SIL1;CET1;ACT1;UTP7;ALG8;MLP2;AME1;IDH1;YFR018C;CCZ1;RIM101;YKR041W;TAT2;YBR238C;NCR1;YPT31;SRY1;PCS60;DAL1
Gene_Interaction_Hubs_BioGRID_2018	SMI1	39/531	3.0230663e-08	5.529285799e-07	0.7459635383890117	0.9999969718970356	-1.4159230956161368	24.51587172209832	ISY1;CTF13;CDS1;SKI8;ARF1;HAL5;ECM21;RRD2;HLJ1;HXT3;SMA2;OPI3;QRI1;PAM1;AIM44;BEM4;CCW12;PAC11;EMC3;SED1;MDN1;SUR7;CET1;ACT1;CCT2;TFC6;PEA2;COG6;YKL075C;RTS1;SSP1;SYH1;CCZ1;FPS1;RIM101;RAT1;PER1;MMS1;YGR237C
Gene_Interaction_Hubs_BioGRID_2018	TOP1	41/583	4.43691583e-08	7.590568504e-07	0.8341429699144224	0.9999969718970356	-1.4468716351949238	24.49658032801156	RRP6;CDS1;TOF1;SKI8;GIS4;SHE4;HKR1;KAP122;MMS4;RSM25;UBC8;RRD2;MDM20;ARN1;TDA10;IRC23;VPS5;RAD24;BCK2;GCR2;EAP1;VPS17;MTC6;SPT21;TDA6;TFC3;FPS1;PUS7;YKR018C;WHI2;SHU2;IRC15;YDL073W;SUB1;SCS3;ISF1;MMS1;VAM10;SEG2;YDR249C;SAE2
Gene_Interaction_Hubs_BioGRID_2018	RSM28	21/179	2.47067189e-08	4.669569874e-07	0.0686209363541436	0.9999969718970356	-1.396175966174115	24.455684347900416	CET1;ISY1;PSP2;SKI8;BRE2;YDR089W;FMT1;YHR202W;RTS3;GDH2;RRD2;CCZ1;YGL176C;PER1;YGR130C;RMD9;BCK2;IES1;EMC3;PCS60;MTC6
Gene_Interaction_Hubs_BioGRID_2018	RIM8	36/462	2.34737516e-08	4.479198085e-07	0.6080518209955236	0.9999969718970356	-1.3881360308716408	24.385917299895983	MET12;SHE4;BRE2;HKR1;BAT2;YCR100C;DAT1;YOL036W;YEL043W;PTH2;YHR177W;HXT3;SMA2;JID1;CNN1;ORC6;VPS5;YHR112C;CCW12;GCR2;VPS17;COS111;CUP1-2;ACT1;CSE2;YOL057W;RIM101;RAT1;YKR018C;YMR210W;YPT31;WHI2;YDL180W;MFM1;AVL9;BSC2
Gene_Interaction_Hubs_BioGRID_2018	END3	23/230	1.081412202e-07	1.6444923488e-06	0.1860292381386494	0.9999969718970356	-1.519848024217639	24.37810069600262	MET12;PSP2;CYK3;KIP3;HKR1;PHO8;PEF1;IPT1;YPR022C;OTU2;YDL211C;YLL054C;YPP1;DPL1;WHI2;YDR132C;BEM4;CCW12;YJL045W;ISC1;VHS3;MMS1;ZIP1
Gene_Interaction_Hubs_BioGRID_2018	CDC48	49/769	4.72474132e-08	7.999755099e-07	0.9658208529454422	0.9999969718970356	-1.4431299112991678	24.342524751673164	RRP6;CTF13;DAT1;YOL036W;FCY22;USA1;SNA3;ERG27;OPI3;ADF1;GPI1;YLR177W;BEM4;IRC8;CET1;SPT21;CCT2;RTS1;PEX30;TRM11;PUS7;RGR1;MUD2;SCS3;SYF1;BRE2;BAT2;NPR2;JJJ2;OCA5;SEN2;MSC3;ROY1;ORC6;SSA4;IOC2;ACT1;YAR028W;TFC3;ASK1;CSI2;RAT1;NUP192;YLR156W;YIG1;YCK1;MMS1;LPX1;ECM38
Gene_Interaction_Hubs_BioGRID_2018	TUS1	33/406	3.35362613e-08	5.995739692e-07	0.5097807527460094	0.9999969718970356	-1.4137455506885874	24.3314636832434	PSP2;SKI8;HKR1;HAL5;DAT1;PCL9;YOX1;RRD2;GLO4;OCA5;PAM1;ROY1;AIM44;VPS5;YPL247C;SUR7;ACT1;CYK3;PEA2;YKL075C;RTS1;IPT1;PHO91;FPS1;TRM11;NRM1;RAX2;PER1;PTC6;WHI2;YJL045W;IES1;AIM39
Gene_Interaction_Hubs_BioGRID_2018	FCP1	40/563	4.94683729e-08	8.284387008e-07	0.8133804744434957	0.9999969718970356	-1.4443777323159186	24.297224432433804	BRE2;HKR1;UGA2;NST1;YDL211C;ASR1;YIL067C;YOR012W;VPS71;VPS5;ADE16;BEM4;CIN1;TGS1;IOC2;SAN1;YNL034W;CET1;ACT1;CYK3;YMR102C;ASK1;IDH1;YMR114C;SSP1;RPL13A;SRB2;RAT1;YHR033W;YBR238C;RGR1;MUD2;YOR283W;AIM11;YJL043W;SUB1;IES1;YPR174C;YGR237C;YOL029C
Gene_Interaction_Hubs_BioGRID_2018	SWR1	43/625	3.85741366e-08	6.744526354e-07	0.8745574877920474	0.9999969718970356	-1.4099024112451404	24.06799828054141	RRP6;TOF1;BRE2;BAT2;KAP122;NUP120;OCA5;SMA2;UBP10;CNN1;VPS71;SWC3;FYV7;CIN1;TGS1;SET3;SPP381;HCS1;BUB2;GCR2;EAP1;CET1;SPT21;ACT1;CSE2;SSN3;ESC8;COG6;AME1;SPT8;SRB2;RIM101;PET309;YBR238C;YPT31;RSC9;MUD2;WHI2;WHI3;IRC15;YDR132C;IES1;AIM39
Gene_Interaction_Hubs_BioGRID_2018	CWC24	29/322	2.51394719e-08	4.712799921e-07	0.3073721939256013	0.9999969718970356	-1.374938694207473	24.05981384621176	ISY1;ASK10;MUM3;VPS71;SWC3;SGT2;YER156C;SDS24;HCS1;RNQ1;FMP40;IRC8;SIL1;UIP4;SUR7;ACT1;MLP2;RTS1;YMR279C;PRM7;YKR041W;YBR238C;SCM4;RSC9;MUD2;AIM11;SYF1;YCK1;LDB17
