Gene name	Number of transposons per gene	Number of reads per gene
ECM9	91	573
RSC4	59	422
NTR2	31	131
RPC37	38	398
SPC34	43	505
KAE1	67	650
RPS21A	32	387
TFA2	6	7
LAS1	46	399
BET3	38	499
DRE2	58	447
TRZ1	76	786
RPF2	38	394
DAD2	16	62
PRP16	136	1219
SFI1	95	2043
ORC3	70	588
DRS1	105	945
SOF1	87	682
DPS1	68	528
GPI13	85	815
RIX7	71	498
GRC3	52	424
PRP19	19	138
YLL037W	18	299
COF1	22	110
NOC3	76	508
SSL1	71	1074
NSE1	75	906
PAM18	24	43
RLP24	9	9
TEN1	4	3
GAT3	15	55
SDO1	52	584
SED5	33	317
RPL15A	15	67
RSC58	16	75
STU2	126	1274
FCF2	50	292
REX2	112	5068
FRS1	71	942
SPC3	31	139
RGR1	139	1513
RPL10	11	107
YLR076C	5	5
BOS1	51	763
SMC4	128	891
GAA1	150	1764
HRT3	47	996
MIM2	35	273
ERG27	38	214
YLR101C	18	116
CDC45	58	330
SEN2	36	342
MDN1	404	4233
CFT2	46	301
MSL5	60	553
CLF1	111	1175
APC2	82	799
DIP2	55	611
USB1	29	96
YLR140W	54	846
RRN5	51	505
RMP1	12	43
SMD3	17	211
ACS2	65	1245
MAS1	37	424
SEC10	80	597
RPS31	12	82
CBF5	65	543
EMG1	23	152
NMT1	10	12
PWP1	98	1179
NOP56	31	476
YLR198C	7	108
SEC13	46	658
TUB4	51	673
CDC123	59	767
CCC1	56	503
UTP13	74	541
IFH1	134	2546
CDC42	19	64
YLR230W	8	19
GPN3	20	45
YEF3	78	648
HSP60	43	359
YCS4	93	840
MCM5	87	723
SMD2	10	75
DBP9	13	16
YSH1	82	683
GCD7	40	313
YHC1	53	446
STT4	175	1506
CDC25	161	1928
CDC3	76	815
TAD3	53	449
YLR317W	17	94
SFH1	58	737
CWC24	43	402
RPS25B	30	173
SGD1	79	1036
YLR339C	8	8
RPP0	9	10
RPL26A	40	284
KAP95	82	745
ILV5	63	900
ADE13	31	78
STP3	77	1622
SEC61	67	668
YLR379W	23	76
AFG2	76	475
SFP1	121	1450
UTP21	98	947
SPP382	59	943
SEN1	155	1639
LSM3	1	0
SEC39	22	150
NBP1	77	1138
YLR458W	29	515
GAB1	12	13
SPT5	145	3147
TAF11	49	140
NSE5	77	771
YML6	68	405
NDC1	86	1304
RRN11	32	198
PRP39	36	225
RSE1	231	3562
TEM1	27	81
ORC1	92	1262
ITT1	72	563
POB3	22	233
BET5	11	44
TUB1	60	304
RPM2	106	1008
PRE8	11	13
UTP14	173	1814
TAF13	6	10
SEC65	23	64
TAF8	81	1061
PGA3	44	600
ERG13	77	772
RSC9	47	414
MSC1	112	1578
ERO1	83	784
CDC5	60	575
TAF4	69	298
SEC59	39	439
TAP42	37	384
HOF1	113	1826
ARP9	22	91
MCM1	32	176
NUP116	89	1005
ERB1	61	395
SEN15	16	116
RNA14	57	226
MOT3	17	41
TVP18	26	459
PDS5	101	1606
SEC14	26	154
UTP15	67	417
CTF13	32	427
MED11	29	354
FOL3	71	957
SPC24	25	71
ECM16	121	1333
RRB1	49	325
ERG29	63	1018
PSO2	142	2949
TIF34	65	796
SWP1	37	208
MSS11	108	1657
CEP3	63	672
SPT21	151	2127
RTP1	79	883
VTI1	34	142
CIK1	87	986
ROT1	33	155
TOM40	23	170
ERG12	51	548
DML1	28	167
CEF1	92	1852
TRS130	79	936
ERG8	69	413
TAF7	79	826
RRP5	130	1116
RNA1	36	307
TAF9	19	37
RNT1	71	616
CUS1	117	2424
TIF11	1	0
PRP24	13	24
RRN9	45	709
FCP1	75	540
GPI12	19	110
HSH155	85	913
HAS1	25	195
YMR290W-A	12	136
LCB1	79	1081
LIP1	13	19
ATM1	88	536
PSE1	81	1063
NIP1	71	629
PRE5	34	169
RLP7	28	122
LST8	19	104
SIS1	66	313
ARK1	215	3908
KSH1	25	174
SAM50	50	212
GPI15	27	189
BDP1	54	794
