Gene A ORF	Gene A allele	Gene B ORF	Gene B allele	Correlation
YKR068C	bet3-5001	YBL050W	sec17-1	0.238
YKR068C	bet3-5001	YBR164C	arl1	0.223
YKR068C	bet3-5001	YOR216C	rud3	0.338
YKR068C	bet3-5001	YGL095C	vps45	0.259
YKR068C	bet3-5001	YGR172C	yip1-4	0.248
YKR068C	bet3-5001	YOL018C	tlg2	0.280
YKR068C	bet3-5001	YLR242C	arv1-supp1	0.264
YKR068C	bet3-5001	YDR137W	rgp1	0.385
YKR068C	bet3-5001	YER157W	cog3-2	0.330
YKR068C	bet3-5001	YCR044C	per1-supp1	0.208
YKR068C	bet3-5001	YER122C	glo3-supp1	0.367
YKR068C	bet3-5001	YHL031C	gos1-supp1	0.261
YKR068C	bet3-5001	YOR370C	mrs6-2	0.277
YKR068C	bet3-5001	YKR006C	mrpl13	0.265
YML124C	tub3	YDR150W	num1	0.232
YML124C	tub3	YLR045C	stu2-11	0.271
YML124C	tub3	YER013W	prp22-1	0.274
YML124C	tub3	YGR078C	pac10	0.302
YOR281C	plp2-5001	YDR212W	tcp1-1	0.317
YOR281C	plp2-5001	YJL008C	cct8-5002	0.331
YOR281C	plp2-5001	YPR016C	tif6-ts1	0.215
YOR281C	plp2-5001	YJR064W	cct5-5001	0.284
YOR281C	plp2-5001	YJL179W	pfd1	0.340
YOR281C	plp2-5001	YGR078C	pac10	0.332
YLR129W	dip2-5001	YER127W	lcp5-5007	0.308
YLR129W	dip2-5001	YDR449C	utp6-5001	0.271
YLR129W	dip2-5001	YLR068W	fyv7	0.409
YLR129W	dip2-5001	YCL059C	krr1-18	0.276
YLR129W	dip2-5001	YLR222C	utp13-5001	0.439
YLR129W	dip2-5001	YOR295W	uaf30	0.211
YLR129W	dip2-5001	YNL075W	imp4-2	0.250
YLR129W	dip2-5001	YER082C	utp7-5004	0.314
YLR129W	dip2-5001	YIL127C	rrt14	0.305
YLR129W	dip2-5001	YLR051C	fcf2-5011	0.394
YJL029C	vps53	YBR164C	arl1	0.262
YJL029C	vps53	YGL095C	vps45	0.349
YJL029C	vps53	YOL018C	tlg2	0.445
YJL029C	vps53	YDR137W	rgp1	0.282
YJL029C	vps53	YDR484W	vps52-supp1	0.477
YLR053C	ylr053c	YEL072W	rmd6	0.401
YER127W	lcp5-5007	YDR449C	utp6-5001	0.226
YER127W	lcp5-5007	YLR068W	fyv7	0.254
YER127W	lcp5-5007	YCL059C	krr1-18	0.200
YER127W	lcp5-5007	YLR222C	utp13-5001	0.271
YER127W	lcp5-5007	YOR295W	uaf30	0.234
YER127W	lcp5-5007	YNL075W	imp4-2	0.298
YER127W	lcp5-5007	YER082C	utp7-5004	0.355
YER127W	lcp5-5007	YIL127C	rrt14	0.233
YER127W	lcp5-5007	YLR051C	fcf2-5011	0.321
YBL105C	pkc1-1	YCL046W	ycl046w	0.208
YBL105C	pkc1-1	YJL095W	bck1	0.359
YBL105C	pkc1-1	YBL061C	skt5	0.213
YDL225W	shs1	YDL218W	ydl218w	0.302
YDL225W	shs1	YMR181C	ymr181c	0.236
YDL225W	shs1	YMR122W-A	ncw1	0.352
