Gene name	Number of transposons per gene	Number of reads per gene	
YGR054W	84	1019	
MUP1	40	558	
RSC1	66	542	
LST7	32	167	
PEF1	23	204	
SPR3	36	243	
ERG25	29	150	
ADE6	82	482	
COX18	34	237	
SPT4	15	98	
YGR064W	26	178	
VHT1	69	330	
YGR066C	33	509	
YGR067C	102	1109	
ART5	176	4361	
YGR068W-A	0	0	
YGR069W	38	484	
ROM1	123	1146	
ENV11	73	879	
UPF3	6	38	
YGR073C	7	24	
SMD1	3	2	
PRP38	4	4	
MRPL25	29	187	
PEX8	66	731	
PAC10	17	64	
YGR079W	73	979	
TWF1	56	643	
SLX9	13	103	
TOM20	23	182	
GCD2	28	152	
MRP13	38	474	
RPL11B	18	27	
PIL1	24	80	
PDC6	100	1969	
CTT1	61	602	
NNF2	101	1609	
UTP22	19	124	
PRP31	41	317	
DBF2	51	320	
DRN1	30	271	
VAS1	89	745	
RRP46	14	74	
TPC1	74	1230	
ASK10	146	1456	
ESP1	72	329	
TEL2	27	160	
MDR1	84	915	
PCP1	41	350	
GTF1	9	48	
NOP7	29	78	
SRB5	27	161	
VMA21	2	1	
VOA1	27	268	
YGR107W	53	1061	
CLB1	42	336	
CLB6	36	273	
CLD1	29	375	
YGR111W	58	683	
SHY1	24	132	
DAM1	24	84	
YGR114C	10	82	
YGR115C	17	49	
SPT6	74	440	
YGR117C	45	785	
RPS23A	14	88	
NUP57	46	332	
COG2	6	16	
MEP1	94	1529	
YGR121W-A	32	1037	
YGR122W	47	930	
YGR122C-A	1	0	
PPT1	100	1406	
ASN2	97	1589	
YGR125W	119	1309	
YGR126W	19	197	
YGR127W	55	974	
UTP8	22	141	
SYF2	15	88	
YGR130C	92	989	
FHN1	11	39	
PHB1	15	75	
PEX4	25	245	
CAF130	106	1088	
PRE9	19	61	
LSB1	20	198	
YGR137W	13	75	
TPO2	64	449	
YGR139W	21	114	
CBF2	65	669	
VPS62	75	654	
BTN2	36	335	
SKN1	93	962	
THI4	60	1398	
ENP2	53	377	
ECL1	7	15	
YGR146C-A	15	172	
NAT2	21	150	
RPL24B	8	93	
GPC1	49	624	
CCM1	77	329	
YGR151C	10	36	
RSR1	18	146	
YGR153W	26	192	
GTO1	36	288	
CYS4	15	99	
PTI1	19	81	
CHO2	71	757	
MTR3	22	112	
NSR1	36	248	
YGR160W	7	28	
RTS3	39	482	
YGR161W-C	22	194	
TIF4631	56	313	
GTR2	22	218	
YGR164W	17	118	
MRPS35	22	163	
TRS65	37	261	
CLC1	13	68	
YGR168C	26	257	
PUS6	81	1315	
LSO2	21	286	
PSD2	145	1978	
MSM1	52	274	
YIP1	20	36	
RBG2	42	287	
CBP4	20	186	
YGR174W-A	2	5	
ERG1	24	59	
YGR176W	33	591	
ATF2	81	1255	
PBP1	74	1086	
OKP1	40	156	
RNR4	42	247	
TIM13	18	172	
YGR182C	13	91	
QCR9	21	154	
UBR1	156	1176	
TYS1	20	88	
TFG1	49	293	
HGH1	49	524	
BUB1	52	350	
CRH1	33	387	
YGR190C	2	1	
HIP1	40	392	
TDH3	39	365	
PDX1	48	645	
XKS1	55	469	
SKI6	24	113	
FYV8	49	470	
SNG1	46	185	
YPP1	46	173	
PMT6	77	737	
ELP2	70	646	
YGR201C	34	178	
PCT1	54	511	
YCH1	72	1834	
ADE3	113	1449	
YGR204C-A	1	0	
TDA10	34	411	
MVB12	8	13	
CIR1	18	57	
SER2	34	302	
TRX2	16	133	
YGR210C	78	926	
ZPR1	39	183	
SLI1	52	311	
RTA1	23	102	
RPS0A	27	124	
RSM27	8	30	
GPI1	25	98	
CCH1	150	2052	
CRM1	42	266	
YGR219W	15	140	
MRPL9	33	235	
TOS2	61	679	
PET54	19	83	
HSV2	32	331	
AZR1	75	816	
AMA1	42	375	
YGR226C	8	16	
DIE2	31	97	
YGR228W	14	165	
SMI1	56	521	
BNS1	37	696	
PHB2	34	309	
NAS6	37	540	
PHO81	93	892	
YHB1	31	231	
MIC26	27	203	
SPG1	11	94	
YGR237C	79	1044	
KEL2	83	1164	
PEX21	44	622	
PFK1	94	899	
YGR240C-A	27	322	
YAP1802	41	421	
YGR242W	4	14	
MPC3	6	6	
LSC2	71	957	
SDA1	92	505	
BRF1	44	178	
CPD1	22	164	
SOL4	31	236	
MGA1	37	547	
YGR250C	55	536	
NOP19	20	106	
GCN5	41	323	
PUP2	21	109	
ENO1	47	227	
COQ6	71	954	
GND2	52	596	
MTM1	53	302	
RAD2	96	1452	
YGR259C	26	321	
TNA1	65	593	
APL6	61	303	
BUD32	33	229	
SAY1	56	445	
MES1	56	287	
YGR265W	29	372	
YGR266W	99	1542	
FOL2	32	219	
HUA1	41	920	
YGR269W	46	1088	
YTA7	150	1389	
YGR270C-A	14	97	
SLH1	217	2954	
EFG1	8	10	
YGR273C	11	34	
TAF1	64	397	
RTT102	14	40	
RNH70	54	818	
CAB4	18	31	
CWC22	51	647	
SCW4	8	77	
PXR1	29	200	
YOR1	180	2571	
BGL2	16	102	
YGR283C	50	349	
ERV29	30	202	
ZUO1	33	180	
BIO2	58	940	
IMA1	93	1338	
MAL13	54	799	
MAL11	68	551	
YGR290W	8	20	
YGR291C	16	290	
MAL12	84	1280	
YGR293C	9	21	
PAU12	18	155	
COS6	62	680	
YRF1-3	836	6530	
YGR296C-A	55	253	
YGR296C-B	76	468	
YHL050C	323	2476	
YHL050W-A	66	388	
YHL049C	130	824	
YHL048C-A	15	135	
COS8	50	447	
ARN2	64	1230	
YHL046W-A	13	227	
PAU13	28	388	
YHL045W	18	151	
YHL044W	48	202	
ECM34	37	598	
YHL042W	52	1381	
YHL041W	40	252	
ARN1	71	917	
EFM1	48	397	
CBP2	51	294	
YHL037C	43	605	
MUP3	70	1054	
VMR1	169	1893	
YHL034W-A	11	67	
SBP1	12	52	
RPL8A	9	51	
GUT1	125	2180	
GOS1	16	62	
YHL030W-A	16	56	
ECM29	230	2759	
OCA5	121	2799	
WSC4	59	755	
RIM101	130	3194	
YHL026C	94	2982	
SNF6	160	5671	
RIM4	122	1719	
NPR3	129	893	
SPO11	44	438	
AIM17	80	1556	
OPI1	54	576	
YHL019W-A	46	444	
APM2	105	1286	
YHL018W	40	292	
YHL017W	113	1211	
DUR3	159	3096	
YHL015W-A	9	49	
RPS20	1	0	
YLF2	61	906	
OTU2	45	578	
YHL012W	75	1061	
PRS3	35	150	
ETP1	118	1290	
YAP3	53	1037	
YHL008C	236	3624	
STE20	212	4105	
YHL006W-A	52	1076	
SHU1	128	4547	
YHL005C	99	2085	
MRP4	50	355	
LAG1	86	1319	
YHL002C-A	55	1025	
HSE1	132	3258	
RPL14B	55	597	
OSH7	104	967	
QCR10	52	371	
LEU5	97	958	
TCD1	97	1208	
NEM1	62	416	
GPA1	27	135	
TIM10	15	73	
STP2	63	636	
ERG11	31	150	
YHR007C-A	82	2472	
SOD2	55	486	
TDA3	63	686	
RPL27A	22	107	
DIA4	45	319	
VPS29	3	2	
ARD1	22	132	
SPO13	29	304	
MIP6	99	1443	
YSC84	72	1174	
YSC83	82	1479	
ARG4	38	124	
DED81	44	324	
YHR020W	51	405	
RPS27B	28	112	
ECM12	21	241	
YHR022C	32	368	
YHR022C-A	15	33	
MYO1	100	524	
MAS2	20	75	
THR1	58	706	
VMA16	21	57	
RPN1	82	566	
DAP2	77	755	
YHR028W-A	48	536	
YHI9	44	741	
SLT2	42	522	
RRM3	91	986	
ERC1	158	3679	
YHR032W-A	14	238	
YHR032C-A	9	82	
YHR033W	108	2678	
PIH1	60	768	
NEL1	58	636	
BRL1	38	224	
PUT2	78	933	
RRF1	14	35	
MSC7	68	957	
VMA10	10	9	
BCD1	80	953	
SRB2	15	57	
NCP1	59	298	
DOG2	39	413	
DOG1	41	619	
YHR045W	62	820	
INM1	45	388	
AAP1	76	980	
YHK8	90	1508	
FSH1	28	580	
YHR049C-A	37	244	
SMF2	109	1261	
YHR050W-A	14	168	
COX6	16	40	
CIC1	15	51	
YHR052W-A	59	1323	
CUP1-1	57	1455	
YHR054C	239	4071	
YHR054W-A	58	1358	
CUP1-2	56	1502	
RSC30	304	4754	
YHR056W-A	27	338	
CPR2	47	683	
MED6	27	549	
FYV4	11	23	
VMA22	8	8	
GIC1	54	702	
RPP1	16	102	
PAN5	38	484	
YHR063W-A	12	135	
SSZ1	23	80	
RRP3	43	310	
SSF1	70	1051	
HTD2	54	953	
DYS1	44	271	
RRP4	29	136	
YHR069C-A	2	1	
TRM5	37	377	
YHR070C-A	25	245	
PCL5	50	809	
YHR071C-A	16	328	
ERG7	42	259	
NOP10	1	0	
OSH3	116	1941	
YHR073W-A	7	55	
YHR073C-B	2	1	
QNS1	48	345	
PPE1	42	318	
PTC7	41	497	
NMD2	46	177	
YHR078W	66	934	
IRE1	86	691	
SAE3	4	3	
LAM4	186	2644	
LRP1	20	249	
KSP1	95	849	
SAM35	41	172	
STE12	79	1040	
IPI1	21	28	
NAM8	72	920	
YHR086W-A	28	383	
RTC3	15	257	
RPF1	11	18	
GAR1	19	90	
YNG2	23	69	
MSR1	63	347	
HXT4	80	837	
AHT1	36	296	
HXT1	86	1197	
YHR095W	16	130	
HXT5	76	1212	
YHR097C	59	792	
SFB3	102	1323	
TRA1	269	2315	
GEP4	15	94	
BIG1	11	22	
KIC1	59	450	
SBE22	92	1210	
GRE3	31	420	
YPT35	18	110	
TRR2	15	52	
CDC12	11	33	
GGA2	59	473	
CTM1	91	1040	
ERP5	22	177	
UBA4	26	78	
YHR112C	74	1237	
APE4	54	638	
BZZ1	49	496	
DMA1	54	917	
COX23	37	261	
TOM71	61	508	
ORC6	25	111	
SET1	93	544	
MSH1	66	636	
LSM12	12	45	
YHR122W	32	382	
EPT1	31	118	
NDT80	74	792	
YHR125W	5	8	
ANS1	31	852	
YHR127W	28	338	
FUR1	24	258	
ARP1	24	174	
YHR130C	8	32	
YHR131C	77	733	
YHR131W-A	24	162	
ECM14	84	1318	
IGO2	19	104	
NSG1	28	134	
WSS1	40	458	
YCK1	60	411	
SPL2	24	201	
ARO9	26	101	
YHR137C-A	13	56	
YHR138C	23	286	
SPS100	29	316	
YHR139C-A	29	507	
YHR140W	51	939	
RPL42B	19	45	
CHS7	33	166	
DSE2	10	62	
RPC10	0	0	
DCD1	42	273	
YHR145C	17	77	
CRP1	32	430	
MRPL6	10	26	
IMP3	31	266	
SKG6	62	659	
PEX28	58	516	
MTC6	48	334	
SPO12	27	188	
SPO16	10	62	
RTT107	131	1405	
LAM1	103	1720	
LIN1	39	334	
REC104	20	153	
KEL1	90	965	
TDA11	73	1233	
PEX18	21	264	
YAP1801	55	667	
MPC2	8	10	
SOL3	25	317	
DNA2	84	627	
PRP8	159	1170	
YHR165W-A	10	110	
CDC23	62	1081	
THP2	17	73	
MTG2	52	238	
DBP8	43	211	
NMD3	27	101	
ATG7	74	793	
SPC97	59	517	
YHR173C	32	301	
ENO2	78	921	
CTR2	29	318	
YHR175W-A	8	45	
FMO1	58	768	
YHR177W	45	517	
STB5	85	1029	
OYE2	30	212	
YHR180W	27	380	
YHR180W-A	12	179	
YHR180C-B	3	12	
SVP26	24	222	
YHR182W	82	1012	
YHR182C-A	20	65	
GND1	60	393	
SSP1	72	861	
PFS1	24	313	
KOG1	100	812	
IKI1	39	123	
GPI16	52	327	
PTH1	25	268	
ERG9	51	332	
CTF8	6	6	
LNP1	44	369	
EGD2	27	256	
YHR193C-A	24	456	
MDM31	93	1715	
NVJ1	31	259	
UTP9	55	308	
RIX1	32	180	
AIM18	37	279	
AIM46	50	744	
NBL1	6	6	
RPN10	19	154	
PPX1	9	113	
YHR202W	53	774	
RPS4B	16	52	
MNL1	126	2078	
SCH9	43	216	
SKN7	65	826	
SET5	73	832	
BAT1	70	774	
CRG1	30	163	
YHR210C	50	553	
FLO5	277	5954	
YHR212C	8	26	
YHR212W-A	14	109	
YHR213W	21	123	
YHR213W-A	6	17	
YHR213W-B	22	228	
YHR214W	12	67	
YHR214W-A	25	375	
YHR214C-D	22	202	
YHR214C-E	25	210	
PHO12	62	620	
IMD2	112	2061	
YHR217C	46	393	
YHR218W	300	3466	
YHR218W-A	42	267	
YHR219W	193	1377	
YHR219C-A	70	412	
YJL225C	771	10722	
YJL225W-A	56	376	
PAU1	34	277	
YJL222W-B	22	139	
YJL222W-A	22	159	
VTH2	303	4781	
IMA4	112	1292	
YJL220W	30	378	
HXT9	80	797	
YJL218W	25	187	
REE1	39	623	
IMA5	92	1159	
YJL215C	21	427	
HXT8	90	1215	
YJL213W	32	243	
OPT1	111	1187	
YJL211C	48	1431	
PEX2	46	593	
CBP1	72	421	
NUC1	44	674	
LAA1	223	3387	
YJL206C	87	1242	
NCE101	17	228	
RCY1	36	330	
PRP21	34	366	
YJL202C	19	161	
ECM25	86	880	
ACO2	85	953	
MBB1	12	146	
PHO90	126	1882	
UBP12	103	1112	
YJL197C-A	0	0	
ELO1	42	269	
YJL195C	11	20	
CDC6	24	112	
YJL193W	22	85	
SOP4	49	438	
RPS14B	55	409	
RPS22A	11	56	
RPL39	14	45	
BUD19	8	24	
SWE1	82	840	
MNN5	61	438	
ATG36	54	576	
GON7	20	86	
MNN11	73	503	
YJL182C	23	226	
YJL181W	52	675	
ATP12	34	245	
PFD1	15	148	
ATG27	30	350	
RPL17B	14	50	
SWI3	41	271	
YJL175W	15	165	
KRE9	18	78	
RFA3	1	0	
CPS1	87	1215	
YJL171C	44	529	
ASG7	56	1146	
YJL169W	24	146	
SET2	91	1361	
ERG20	39	153	
QCR8	9	51	
HAL5	72	915	
TPK1	46	304	
YJL163C	91	1513	
JJJ2	68	856	
FMP33	23	357	
PIR5	28	326	
HSP150	4	6	
CIS3	42	432	
FAR1	122	1131	
YJL156W-A	30	564	
SSY5	59	425	
FBP26	50	395	
VPS35	57	368	
INO1	53	562	
YJL152W	76	2962	
SNA3	61	2246	
YJL150W	40	672	
DAS1	74	719	
RPA34	30	169	
MRX5	23	88	
IDS2	36	186	
SFH5	32	575	
YJL144W	25	289	
TIM17	31	604	
IRC9	16	154	
YAK1	55	770	
RPB4	6	7	
YUR1	44	570	
TIF2	52	431	
GLG2	82	797	
YJL136W-A	10	79	
RPS21B	19	150	
YJL135W	17	314	
LCB3	51	602	
YJL133C-A	30	526	
MRS3	39	412	
YJL132W	102	1366	
AIM23	30	179	
URA2	235	3597	
TRK1	86	651	
PBS2	71	900	
YJL127W-A	10	19	
YJL127C-B	10	103	
SPT10	60	468	
NIT2	51	619	
GCD14	46	202	
LSM1	14	121	
MTC1	58	413	
ALB1	31	295	
RPE1	40	511	
YJL120W	33	534	
YJL119C	23	446	
YJL118W	43	660	
PHO86	45	370	
NCA3	57	627	
ASF1	22	123	
MDV1	83	936	
CCT7	40	177	
GZF3	44	406	
UTP10	121	612	
PRM10	51	617	
YJL107C	43	468	
IME2	67	816	
SET4	45	480	
PAM16	20	108	
GSM1	73	704	
MEF2	51	529	
GSH1	69	497	
LSB6	65	1003	
CHS6	64	464	
SAP185	135	1710	
PHS1	22	106	
MRPL49	18	97	
BCK1	55	409	
KHA1	81	1078	
TOK1	57	533	
SRS2	94	1040	
GWT1	32	67	
DPB11	35	107	
SIP4	66	660	
ARG3	42	144	
TRL1	31	95	
YJL086C	24	279	
EXO70	47	245	
ALY2	89	1020	
TAX4	82	896	
IML2	99	1445	
ARP4	13	30	
SCP160	111	1373	
PRY1	48	718	
PRY3	117	1383	
YJL077W-B	6	57	
ICS3	48	909	
YJL077W-A	8	87	
NET1	108	934	
APQ13	35	388	
SMC3	57	333	
JEM1	56	705	
PSF2	26	155	
ARG2	53	262	
YJL070C	63	631	
UTP18	46	387	
YJL068C	49	604	
YJL067W	32	123	
MPM1	63	699	
DLS1	32	249	
YJL064W	25	173	
MRPL8	35	193	
COA3	15	77	
LAS21	68	395	
NUP82	41	202	
BNA3	15	162	
YHC3	58	422	
BIT61	50	525	
IKS1	41	268	
ZAP1	81	905	
YJL055W	38	369	
TIM54	27	234	
PEP8	18	90	
YJL052C-A	30	931	
TDH1	51	678	
IRC8	123	1561	
MTR4	106	766	
YJL049W	49	497	
UBX6	45	421	
YJL047C-A	15	117	
RTT101	85	494	
AIM22	35	235	
YJL045W	97	1580	
GYP6	45	430	
YJL043W	109	3197	
MHP1	136	1868	
NSP1	8	11	
NUP192	68	186	
LOH1	15	70	
IRC18	32	354	
SNX4	38	156	
TAD2	19	40	
KAR2	45	186	
HCA4	64	179	
YJL032W	4	5	
BET4	14	17	
MAD2	44	616	
VPS53	58	236	
YJL028W	88	3060	
YJL027C	76	1568	
RNR2	44	335	
YJL026C-A	10	33	
RRN7	43	290	
APS3	22	56	
PET130	36	124	
YJL022W	15	72	
BBC1	143	1924	
YJL020W-A	6	29	
MPS3	83	1096	
YJL016W	112	1499	
YJL015C	48	1779	
CCT3	14	100	
MAD3	114	2463	
VTC4	154	1791	
RPC17	7	6	
NOP9	58	308	
YJL009W	16	154	
CCT8	48	329	
YJL007C	46	706	
CTK2	18	58	
CYR1	166	1046	
SYS1	39	323	
COX16	16	89	
OST1	24	145	
PRE3	22	63	
AVT1	191	3395	
MPP10	49	189	
MRX12	132	1884	
SAG1	164	2583	
APL1	110	1441	
LSO1	22	162	
POL31	17	19	
SUI2	31	212	
MHO1	63	808	
TDH2	97	1785	
MET3	85	1168	
SPC1	18	255	
YJR011C	34	228	
YJR012C	65	1718	
GPI14	39	79	
TMA22	36	155	
YJR015W	94	1821	
ILV3	85	1223	
ESS1	22	120	
YJR018W	25	129	
TES1	98	1969	
YJR020W	35	567	
REC107	76	1338	
LSM8	6	9	
YJR023C	7	10	
MDE1	44	649	
BNA1	32	274	
YJR030C	151	2403	
GEA1	150	1890	
CPR7	35	219	
RAV1	103	659	
PET191	17	224	
RAD26	98	1445	
HUL4	144	1935	
YJR037W	20	339	
YJR038C	32	673	
YJR039W	158	2136	
GEF1	68	606	
URB2	62	302	
NUP85	48	218	
POL32	53	452	
VPS55	30	242	
SSC1	7	10	
TAH11	39	110	
ANB1	40	633	
CYC1	27	287	
UTR1	121	7966	
ISY1	53	1238	
OSM1	76	823	
RAD7	64	553	
BFA1	76	1032	
KCH1	35	359	
HIT1	18	68	
YJR056C	30	199	
CDC8	14	45	
APS2	37	520	
PTK2	104	1507	
CBF1	70	673	
YJR061W	135	1753	
NTA1	48	417	
RPA12	9	27	
CCT5	61	677	
ARP3	34	200	
TOR1	260	2535	
YAE1	10	15	
RFC2	37	101	
HAM1	30	266	
LIA1	51	551	
YJR071W	18	150	
NPA3	44	435	
OPI3	48	900	
MOG1	55	1258	
HOC1	62	620	
CDC11	38	196	
MIR1	39	434	
BNA2	99	1727	
YJR079W	40	347	
AIM24	34	516	
EAF6	26	345	
ACF4	32	383	
CSN12	55	1106	
YJR085C	18	451	
STE18	16	48	
YJR087W	15	64	
EMC2	36	368	
BIR1	96	689	
GRR1	82	425	
JSN1	111	1745	
BUD4	179	1934	
FIP1	15	100	
IME1	45	333	
RPL43B	26	83	
SFC1	48	911	
YJR096W	43	645	
JJJ3	20	77	
YJR098C	72	1311	
YUH1	8	73	
AIM25	32	602	
RSM26	24	67	
VPS25	8	11	
URA8	153	3070	
SOD1	38	153	
ADO1	25	140	
ECM27	109	1332	
LIH1	44	411	
ABM1	37	1284	
CPA2	53	279	
YMR1	92	707	
PXP2	34	631	
NNF1	22	48	
YJR112W-A	30	482	
RSM7	24	100	
YJR114W	20	97	
YJR115W	42	703	
TDA4	57	985	
STE24	58	407	
ILM1	26	163	
JHD2	110	1346	
YJR120W	39	604	
ATP2	29	183	
IBA57	26	125	
RPS5	0	0	
YJR124C	61	402	
ENT3	60	577	
VPS70	100	974	
RSF2	249	3551	
YJR128W	35	252	
EFM3	78	1120	
STR2	51	624	
MNS1	69	1122	
NMD5	94	880	
XPT1	25	209	
SGM1	38	202	
MCM22	34	299	
TIM8	2	1	
TTI2	4	3	
MET5	161	2172	
IML1	123	960	
HOM6	31	92	
HIR3	91	352	
YJR140W-A	1	0	
YJR141W	12	41	
YJR142W	62	821	
PMT4	45	338	
MGM101	43	463	
RPS4A	13	37	
YJR146W	24	197	
HMS2	24	134	
BAT2	78	1746	
YJR149W	50	390	
DAN1	28	166	
DAN4	54	704	
YJR151W-A	2	1	
DAL5	73	1693	
PGU1	19	129	
YJR154W	71	1156	
AAD10	67	1610	
THI11	60	585	
YJR157W	1	0	
HXT16	112	1599	
SOR1	73	606	
MPH3	111	1184	
COS5	61	511	
YJR162C	42	506	
YKL225W	28	191	
PAU16	12	52	
YKL223W	33	378	
YKL222C	55	589	
MCH2	47	485	
FRE2	84	1079	
COS9	47	721	
SRY1	72	1705	
JEN1	97	1543	
URA1	34	372	
OXP1	156	2223	
YRA2	30	326	
DOA1	53	213	
SAC1	37	157	
TRP3	50	676	
UBA1	35	158	
STE6	141	2058	
CBT1	32	475	
EMC3	51	817	
ADD66	21	252	
LOS1	77	753	
EAP1	72	643	
TOR2	195	1358	
YKL202W	17	330	
MNN4	102	1188	
PTK1	283	8940	
PEX1	131	1793	
YKT6	20	91	
MIA40	14	25	
MST1	48	220	
SDS22	17	115	
ACP1	6	35	
DPH2	66	767	
CNB1	13	19	
HYM1	26	172	
PXA2	63	828	
YKL187C	86	1617	
MTR2	24	76	
ASH1	74	1034	
SPE1	39	297	
YKL183C-A	25	616	
LOT5	83	1639	
FAS1	91	547	
PRS1	35	125	
RPL17A	5	10	
COY1	48	586	
STE3	48	1014	
YKL177W	18	602	
LST4	51	377	
ZRT3	84	1284	
TPO5	30	124	
SNU114	38	182	
EBP2	20	28	
NNK1	103	1444	
MRPL38	15	44	
YKL169C	14	30	
KKQ8	78	643	
MRP49	16	94	
TPK3	43	477	
YKL165C-A	6	30	
MCD4	74	447	
PIR1	18	103	
PIR3	13	61	
YKL162C-A	7	52	
YKL162C	45	414	
KDX1	38	294	
ELF1	13	36	
RCN1	13	189	
APE2	117	1239	
RPS27A	12	39	
YKL156C-A	2	1	
RSM22	54	277	
SRP102	34	168	
YKL153W	15	69	
GPM1	17	67	
NNR2	69	1023	
MCR1	30	291	
DBR1	51	348	
SDH1	130	1778	
YKL147C	39	614	
AVT3	80	791	
RPT1	13	79	
YKL145W-A	1	0	
RPC25	11	46	
LTV1	52	440	
MRP8	6	73	
SDH3	9	98	
TGL1	43	479	
CTK1	13	53	
HSK3	5	16	
MRPL31	17	66	
CMC1	4	12	
YKL136W	11	27	
APL2	64	504	
OCT1	59	355	
YKL133C	35	332	
RMA1	46	441	
YKL131W	11	35	
SHE2	15	40	
MYO3	112	1788	
PMU1	61	679	
PGM1	83	694	
YPK1	35	194	
RRN3	40	133	
SSH4	59	715	
YKL123W	7	16	
SRP21	8	37	
DGR2	95	1125	
OAC1	55	874	
VPH2	24	250	
YKL118W	15	277	
SBA1	30	290	
PRR1	51	442	
YKL115C	24	132	
APN1	58	741	
RAD27	44	384	
ABF1	52	266	
YKL111C	18	115	
KTI12	23	86	
HAP4	68	621	
SLD2	45	342	
YKL107W	32	243	
YKL106C-A	15	196	
AAT1	50	305	
SEG2	144	1591	
GFA1	42	196	
APE1	84	1359	
YKL102C	45	851	
HSL1	122	1168	
YKL100C	76	864	
YKL100W-A	7	9	
UTP11	29	170	
MTC2	58	453	
YKL097C	42	874	
YKL096C-B	3	2	
CWP2	6	13	
CWP1	19	163	
YJU2	23	107	
YJU3	66	710	
MBR1	36	323	
BUD2	107	936	
YKL091C	37	434	
CUE2	51	392	
MIF2	12	31	
CAB3	35	244	
CYT2	43	235	
SRX1	72	2608	
MDH1	32	362	
HOT13	28	449	
YKL083W	1	0	
RRP14	16	116	
TEF4	46	617	
VMA5	30	71	
SMY1	56	418	
DHR2	30	242	
PSG1	21	117	
PSY1	10	40	
YKL075C	53	563	
MUD2	67	964	
LHS1	70	618	
STB6	79	721	
YKL071W	27	151	
YKL070W	16	185	
YKL069W	28	302	
YKL068W-A	7	130	
NUP100	52	323	
YNK1	16	143	
YKL066W	40	697	
YKL065W-A	6	11	
YET1	31	106	
MNR2	119	1384	
YKL063C	14	64	
MSN4	48	558	
BLI1	19	61	
FBA1	15	17	
MPE1	44	300	
TOA2	11	12	
NUP120	36	200	
TMA19	23	137	
OAR1	26	168	
DEF1	22	88	
MDM35	9	19	
YKL053W	34	614	
ASK1	72	742	
SFK1	63	887	
YKL050C	104	1002	
CSE4	12	24	
ELM1	37	384	
ANR2	69	930	
DCW1	68	943	
PRI2	36	256	
YKL044W	25	125	
PHD1	42	391	
SPC42	25	53	
VPS24	11	12	
NFU1	38	337	
PTM1	81	945	
RGT1	136	2090	
AIM26	57	1300	
YKL036C	56	1136	
UGP1	34	171	
TUL1	140	2906	
YKL033W-A	31	375	
TTI1	69	421	
IXR1	90	1637	
YKL031W	62	603	
YKL030W	81	1259	
MAE1	178	2878	
TFA1	44	153	
TCD2	85	1072	
GPX1	30	264	
PAN3	101	1963	
URA6	18	85	
YKL023C-A	15	209	
YKL023W	56	430	
CDC16	70	975	
MAK11	39	849	
SPT23	113	1578	
RAM2	39	226	
YKL018C-A	23	155	
SWD2	21	52	
HCS1	66	858	
ATP7	15	44	
PUT3	119	1768	
URB1	121	664	
ARC19	7	7	
PRP40	55	328	
CCE1	53	731	
UFD4	192	3736	
MRT4	23	75	
LAC1	59	721	
CAP1	61	617	
SFT1	24	311	
RPL14A	20	46	
BYE1	114	1901	
AUR1	47	445	
MRP17	18	56	
DID4	41	248	
MET14	35	431	
VPS1	38	370	
PAP1	43	224	
OSH6	125	1428	
ECM9	61	276	
YKR005C	200	4117	
MRPL13	19	91	
MEH1	19	60	
RSC4	32	121	
FOX2	206	4279	
TOF2	108	1150	
YKR011C	48	770	
YKR012C	24	337	
PRY2	64	656	
YPT52	13	48	
YKR015C	93	1374	
MIC60	67	680	
HEL1	75	760	
YKR018C	109	2266	
IRS4	66	517	
VPS51	35	81	
ALY1	130	2083	
NTR2	18	54	
YKR023W	88	994	
DBP7	77	427	
RPC37	19	79	
GCN3	34	202	
BCH2	99	1727	
SAP190	85	586	
SET3	76	778	
GMH1	22	181	
SPO14	181	2664	
YKR032W	40	875	
YKR033C	23	192	
DAL80	47	635	
OPI8	30	265	
DID2	27	251	
CAF4	131	2374	
SPC34	26	148	
KAE1	45	310	
GAP1	112	1645	
YKR040C	85	1989	
YKR041W	110	3208	
UTH1	25	65	
SHB17	57	1370	
UIP5	102	1431	
YKR045C	40	673	
PET10	31	290	
YKR047W	17	122	
NAP1	48	406	
FMP46	22	182	
TRK2	135	2369	
YKR051W	81	811	
MRS4	41	397	
YSR3	47	550	
DYN1	263	2099	
RHO4	30	271	
TRM2	80	939	
RPS21A	21	141	
GLG1	43	297	
TIF1	46	429	
UTP30	41	438	
KTR2	74	693	
TFA2	4	4	
LAS1	31	147	
OAF3	98	686	
PAM17	24	306	
CCP1	63	1182	
GPT2	111	1716	
BET3	27	200	
MET1	55	498	
YKR070W	68	1125	
DRE2	25	166	
SIS2	69	614	
YKR073C	36	787	
AIM29	21	286	
YKR075C	59	1169	
YKR075W-A	30	631	
ECM4	65	630	
MSA2	21	187	
YKR078W	47	471	
TRZ1	45	225	
MTD1	74	995	
RPF2	28	190	
NUP133	72	523	
DAD2	10	23	
HBS1	69	816	
MRPL20	37	219	
PRP16	86	545	
OMA1	58	595	
TVP38	46	224	
TGL4	114	1392	
PXL1	117	2040	
SRL3	35	617	
SRP40	48	559	
PTR2	126	2078	
RPL40B	12	45	
MLP1	102	1092	
PCC1	17	118	
ESL2	172	3301	
PCK1	103	1588	
UBP11	81	1162	
BAS1	51	457	
SKG1	27	233	
SIR1	52	359	
FLO10	119	1752	
NFT1	130	1325	
YKR104W	20	159	
VBA5	76	729	
GEX2	84	893	
YLL067C	579	5058	
YLL067W-A	67	449	
YLL066W-B	30	758	
YLL066C	600	5305	
YLL066W-A	80	459	
