Gene name	Number of transposons per gene	Number of reads per gene	
RRP8	28	194	
TVP23	6	17	
AFR1	67	703	
SSS1	0	0	
RRP1	11	21	
SLU7	36	92	
YDR089W	101	768	
YDR090C	41	242	
RLI1	24	51	
UBC13	33	318	
DNF2	243	4017	
YDR094W	54	1104	
YDR095C	35	686	
GIS1	80	586	
MSH6	85	1162	
GRX3	23	257	
BMH2	31	356	
TVP15	21	269	
ARX1	27	209	
YDR102C	26	352	
STE5	41	336	
SPO71	121	1756	
TMS1	54	657	
ARP10	38	265	
TMN2	76	773	
TRS85	53	279	
YDR109C	49	159	
FOB1	53	549	
ALT2	68	859	
IRC2	29	401	
PDS1	14	24	
YDR114C	16	81	
YDR115W	6	12	
MRPL1	27	131	
TMA64	36	136	
APC4	57	383	
YDR118W-A	9	15	
VBA4	96	1425	
COX26	11	190	
TRM1	69	706	
DPB4	24	69	
KIN1	128	2237	
INO2	27	216	
YDR124W	43	521	
ECM18	33	316	
SWF1	86	1003	
ARO1	144	1393	
MTC5	117	1756	
SAC6	38	246	
FIN1	24	146	
YDR131C	67	812	
YDR132C	65	500	
YDR133C	2	1	
YCF1	136	1365	
VPS61	42	752	
RGP1	41	393	
HPR1	48	253	
RUB1	4	12	
MTQ2	24	134	
DOP1	86	433	
PEX7	49	648	
SAN1	41	408	
MKC7	57	613	
TAF12	14	81	
SWI5	44	335	
EKI1	45	295	
KGD2	40	250	
YDR149C	15	84	
NUM1	245	1915	
CTH1	28	241	
GIR2	34	281	
ENT5	36	273	
YDR154C	21	96	
CPR1	39	346	
RPA14	36	511	
YDR157W	40	498	
HOM2	30	227	
SAC3	79	834	
SSY1	26	43	
ACL4	10	20	
NBP2	15	44	
CWC15	24	321	
SEC1	48	347	
TRM82	36	400	
SEC5	43	245	
TAF10	19	96	
CDC37	33	208	
STB3	31	182	
YDR169C-A	5	6	
SEC7	114	659	
HSP42	25	211	
SUP35	39	257	
ARG82	14	23	
HMO1	27	120	
RSM24	16	52	
NGG1	54	296	
UBC1	18	58	
SDH4	23	152	
CSN9	8	12	
YDR179W-A	33	180	
SCC2	78	399	
SAS4	60	559	
CDC1	47	229	
YDR182W-A	5	13	
PLP1	30	293	
YDR183C-A	10	91	
ATC1	20	256	
UPS3	31	403	
SND1	70	591	
YDR187C	20	116	
CCT6	47	321	
SLY1	27	147	
RVB1	27	80	
HST4	51	659	
NUP42	31	279	
YDR193W	20	285	
MSS116	36	124	
YDR194W-A	6	17	
REF2	20	107	
CAB5	19	115	
CBS2	33	170	
RKM2	40	181	
YDR199W	9	27	
VPS64	63	605	
SPC19	13	27	
RAV2	20	72	
YDR203W	7	20	
COQ4	40	367	
MSC2	68	459	
EBS1	46	366	
UME6	80	627	
MSS4	77	477	
YDR209C	6	20	
YDR210W	3	3	
GCD6	39	200	
TCP1	35	117	
UPC2	83	812	
AHA1	52	756	
YDR215C	41	1433	
ADR1	92	944	
RAD9	130	1311	
SPR28	20	237	
MFB1	12	33	
YDR220C	23	236	
GTB1	64	779	
YDR222W	41	444	
CRF1	58	659	
HTB1	16	22	
HTA1	9	16	
ADK1	29	278	
SIR4	69	720	
PCF11	21	140	
IVY1	37	276	
YDR230W	15	72	
COX20	36	213	
HEM1	49	431	
RTN1	20	209	
LYS4	85	807	
PRP42	5	38	
FMN1	8	13	
MRPL7	23	115	
SEC26	63	703	
YDR239C	76	877	
SNU56	25	207	
BUD26	30	588	
AMD2	66	958	
PRP28	29	281	
PEX5	103	1432	
MNN10	16	32	
TRS23	38	259	
YDR246W-A	37	1374	
VHS1	53	529	
YDR248C	28	326	
YDR249C	41	329	
YDR250C	42	1900	
PAM1	72	528	
BTT1	15	82	
MET32	25	160	
CHL4	34	182	
RMD5	38	164	
CTA1	62	819	
RKM4	26	116	
HSP78	111	1527	
YAP6	26	329	
SWM1	33	292	
EXG2	52	351	
YDR262W	40	319	
DIN7	45	190	
AKR1	74	490	
PEX10	24	223	
HEL2	49	449	
CIA1	37	315	
MSW1	23	207	
YDR269C	5	6	
CCC2	67	870	
YDR271C	22	435	
GLO2	34	219	
DON1	29	112	
YDR274C	80	2803	
BSC2	48	455	
PMP3	7	32	
MTH1	51	571	
YDR278C	16	428	
RNH202	42	176	
RRP45	19	87	
PHM6	6	124	
MRX10	42	291	
GCN2	108	725	
DPP1	34	409	
ZIP1	72	448	
YDR286C	9	35	
INM2	26	199	
NSE3	19	86	
RTT103	24	38	
YDR290W	15	125	
HRQ1	109	1102	
SRP101	35	148	
SSD1	89	1040	
DPL1	79	895	
