Gene name	Number of transposons per gene	Number of reads per gene
ARP4	13	30
EXO70	47	245
YJL086C	24	279
TRL1	31	95
DPB11	35	107
GWT1	32	67
PHS1	22	106
PAM16	20	108
IME2	67	816
UTP10	121	612
CCT7	40	177
ASF1	22	123
MTC1	58	413
GCD14	46	202
TIM17	31	604
SSY5	59	425
FAR1	122	1131
TPK1	46	304
ERG20	39	153
RFA3	1	0
KRE9	18	78
CDC6	24	112
YJL195C	11	20
YJL202C	19	161
PRP21	34	366
MPP10	49	189
MRX12	132	1884
POL31	17	19
SUI2	31	212
YJR012C	65	1718
GPI14	39	79
ILV3	85	1223
ESS1	22	120
LSM8	6	9
YJR023C	7	10
URB2	62	302
NUP85	48	218
SSC1	7	10
TAH11	39	110
CDC8	14	45
CCT5	61	677
ARP3	34	200
YAE1	10	15
RFC2	37	101
NPA3	44	435
CDC11	38	196
FIP1	15	100
SFC1	48	911
NNF1	22	48
RPS5	0	0
YJR141W	12	41
AUR1	47	445
SFT1	24	311
PRP40	55	328
ARC19	7	7
URB1	121	664
SWD2	21	52
RAM2	39	226
MAK11	39	849
CDC16	70	975
URA6	18	85
TFA1	44	153
TTI1	69	421
UGP1	34	171
YKL036C	56	1136
SPC42	25	53
PRI2	36	256
CSE4	12	24
ASK1	72	742
TOA2	11	12
MPE1	44	300
FBA1	15	17
DHR2	30	242
RRP14	16	116
YKL083W	1	0
CAB3	35	244
MIF2	12	31
YJU2	23	107
UTP11	29	170
HSL1	122	1168
GFA1	42	196
SLD2	45	342
YKL111C	18	115
ABF1	52	266
SRP21	8	37
RRN3	40	133
HSK3	5	16
SDH3	9	98
RPC25	11	46
RPT1	13	79
GPM1	17	67
YKL153W	15	69
SRP102	34	168
MCD4	74	447
TPK3	43	477
EBP2	20	28
SNU114	38	182
RPL17A	5	10
FAS1	91	547
MTR2	24	76
HYM1	26	172
ACP1	6	35
SDS22	17	115
MIA40	14	25
YKT6	20	91
TOR2	195	1358
LOS1	77	753
UBA1	35	158
PAP1	43	224
ECM9	61	276
RSC4	32	121
NTR2	18	54
RPC37	19	79
SPC34	26	148
KAE1	45	310
RPS21A	21	141
TFA2	4	4
LAS1	31	147
BET3	27	200
DRE2	25	166
TRZ1	45	225
RPF2	28	190
DAD2	10	23
PRP16	86	545
SFI1	68	776
ORC3	44	245
DRS1	56	313
SOF1	45	242
DPS1	41	208
GPI13	59	317
RIX7	40	184
GRC3	29	182
PRP19	10	53
YLL037W	13	151
COF1	12	34
NOC3	38	173
SSL1	46	348
NSE1	50	354
PAM18	14	13
RLP24	5	4
TEN1	2	1
GAT3	8	21
SDO1	27	222
SED5	25	140
RPL15A	11	22
RSC58	9	45
STU2	71	526
FCF2	28	123
REX2	55	1311
FRS1	55	431
SPC3	17	73
RGR1	87	561
RPL10	6	21
YLR076C	1	0
BOS1	30	270
SMC4	79	399
GAA1	81	799
HRT3	33	597
MIM2	18	48
ERG27	23	104
YLR101C	15	69
CDC45	34	139
SEN2	28	161
MDN1	240	1493
CFT2	35	158
MSL5	28	133
CLF1	68	465
APC2	51	367
DIP2	34	121
USB1	16	34
YLR140W	32	270
RRN5	34	198
RMP1	6	10
SMD3	6	108
ACS2	43	442
MAS1	24	185
SEC10	52	177
RPS31	6	26
CBF5	40	175
EMG1	15	74
NMT1	2	1
PWP1	55	414
NOP56	16	100
YLR198C	3	5
SEC13	28	289
TUB4	34	269
CDC123	24	121
CCC1	34	259
UTP13	45	147
IFH1	81	1154
CDC42	13	30
YLR230W	5	10
GPN3	13	22
YEF3	49	405
HSP60	26	97
YCS4	62	406
MCM5	50	332
SMD2	5	27
DBP9	1	0
YSH1	46	250
GCD7	24	92
YHC1	36	205
STT4	125	755
CDC25	112	913
CDC3	55	286
TAD3	34	117
YLR317W	9	35
SFH1	35	208
CWC24	25	111
RPS25B	16	23
SGD1	47	299
YLR339C	4	4
RPP0	6	7
RPL26A	25	97
KAP95	53	351
ILV5	35	335
ADE13	19	32
STP3	32	493
SEC61	39	240
YLR379W	12	33
AFG2	51	245
SFP1	72	554
UTP21	67	471
SPP382	39	336
SEN1	95	595
LSM3	0	0
SEC39	11	51
NBP1	42	278
YLR458W	15	118
GAB1	5	4
SPT5	87	921
TAF11	25	42
NSE5	55	368
YML6	41	214
NDC1	57	488
RRN11	19	43
PRP39	22	80
RSE1	144	1376
TEM1	15	41
ORC1	58	493
ITT1	34	219
POB3	12	133
BET5	5	10
TUB1	39	198
RPM2	65	534
PRE8	6	5
UTP14	107	677
TAF13	5	9
SEC65	9	17
TAF8	50	494
PGA3	21	131
ERG13	47	232
RSC9	39	120
MSC1	65	647
ERO1	45	330
CDC5	39	192
TAF4	38	90
SEC59	25	110
TAP42	25	180
HOF1	76	887
ARP9	13	21
MCM1	20	115
NUP116	51	523
ERB1	45	167
SEN15	7	19
RNA14	33	108
MOT3	14	23
TVP18	12	138
PDS5	59	443
SEC14	15	63
UTP15	43	152
CTF13	17	120
MED11	14	157
FOL3	40	392
SPC24	13	30
ECM16	78	567
RRB1	29	121
ERG29	38	505
PSO2	77	749
TIF34	38	289
SWP1	26	79
MSS11	58	552
CEP3	38	299
SPT21	87	957
RTP1	49	359
VTI1	24	73
CIK1	57	408
ROT1	24	77
TOM40	15	95
ERG12	31	214
DML1	24	62
CEF1	46	567
TRS130	40	142
ERG8	37	115
TAF7	40	194
RRP5	88	400
RNA1	20	151
TAF9	14	29
RNT1	44	277
CUS1	65	1157
TIF11	1	0
PRP24	11	16
RRN9	24	172
FCP1	45	225
GPI12	11	45
HSH155	53	382
HAS1	16	59
YMR290W-A	7	63
LCB1	46	426
LIP1	6	8
ATM1	51	219
PSE1	55	377
NIP1	46	276
PRE5	20	35
RLP7	14	35
LST8	11	48
SIS1	48	129
ARK1	113	1408
KSH1	13	56
SAM50	25	67
GPI15	19	88
BDP1	29	251
NOP2	51	331
GCD10	43	514
IMP4	13	44
TOP2	47	286
POL1	155	1465
MET4	31	146
NOP15	14	26
DBP2	68	308
RPC19	6	7
YNL114C	7	51
DCP2	67	464
NAF1	36	222
SPC98	87	388
TOM22	4	3
KRE33	42	406
NAM9	65	559
YSF3	17	92
PGA2	9	10
YNL150W	4	3
RPC31	18	46
INN1	25	126
PGA1	16	26
CBK1	65	537
RPL42A	25	128
RIA1	70	593
APC1	149	1100
RPS3	0	0
YNL181W	22	74
IPI3	37	153
KAR1	10	26
SRP1	10	50
RIO2	22	50
RAP1	99	562
POP1	83	620
SSU72	9	22
CSL4	13	57
NAR1	49	434
SUI1	17	90
CWC25	13	79
YNL247W	68	490
NRD1	33	208
FOL1	60	499
DSL1	57	641
LTO1	7	12
ORC5	10	27
POL2	189	1097
YIF1	29	177
PIK1	61	273
SEC2	47	439
POP3	33	446
SEC21	62	383
RFC3	35	183
MRPS18	13	31
KRI1	22	37
ZIM17	20	163
RFA2	8	38
EMW1	52	267
PFS2	39	306
RPC34	41	252
PRP2	105	921
ACC1	163	978
TIM23	30	258
SEC12	38	392
ARC35	36	268
DBP6	15	86
MVD1	13	20
TRM112	24	110
NOG2	30	99
ESF2	35	104
RPB11	11	16
RCL1	42	334
DIS3	69	452
TSR4	20	76
MIM1	24	102
SMC5	75	521
PRE6	21	52
RPS15	20	97
RIB2	85	899
NUF2	22	51
BRX1	20	131
AVO1	92	829
RFC4	25	134
WRS1	42	208
TPT1	17	61
RPL18A	21	75
HRP1	26	64
RPL25	0	0
ALR1	73	653
HRT1	21	257
YOL134C	29	558
MED7	22	149
CDC33	2	1
NOP8	28	116
PSF3	9	51
DCP1	11	11
UTP23	17	111
HSP10	1	0
DBP5	49	260
RAT1	48	175
NOB1	55	370
SGT1	33	79
SLD7	35	168
RPL3	13	90
CDC21	29	293
UFE1	24	137
RTS2	37	332
RKI1	16	56
NUP1	33	206
YOR102W	7	8
OST2	7	6
VAM3	18	61
TFC7	36	139
RPO31	74	512
RPT5	31	196
RIO1	39	155
PFY1	15	47
THI80	30	126
YOR146W	11	14
SPP2	4	3
SMP3	30	93
RPB2	73	568
PDR5	131	1572
PUP1	27	144
SME1	14	99
MTR10	40	168
GLN4	49	215
YOR169C	4	4
MED4	16	62
HEM15	49	618
LAS17	30	248
TOA1	12	17
YOR203W	20	218
DED1	34	227
NOC2	60	429
RET1	69	342
RPB10	6	7
RFC1	73	415
YOR218C	13	43
RPB8	15	40
WTM2	82	1586
MGE1	16	28
KIN4	90	1237
DFR1	31	309
ESA1	33	169
APC5	17	36
CLP1	14	52
SEC63	36	167
TRE2	40	188
CDC31	4	3
RPT4	43	175
GCD1	43	228
RPN8	12	15
GPN2	23	105
FSF1	44	653
YTM1	19	97
HEM4	23	120
PLP2	20	88
YOR282W	22	450
RRP36	14	23
RRS1	8	33
NOP58	20	67
HSH49	9	15
MYO2	104	573
SCD5	45	283
ALA1	79	556
KRE5	99	721
RPA43	17	83
RPA190	78	626
SOG2	66	756
PRT1	70	477
PRE10	16	37
MRS6	34	148
NDD1	27	132
NUD1	44	266
TFC8	40	196
RET3	11	49
TAF3	53	322
RRP12	83	469
SWI1	60	440
ULP1	27	108
ERG10	25	39
NOP4	76	435
TIM50	42	253
GCR1	39	211
GPI2	17	35
MOT1	159	1240
SEN54	18	82
SEC16	92	803
NOG1	64	695
SEC62	38	281
IDI1	34	269
TFB2	35	79
SPC29	15	42
NAN1	48	196
TBF1	17	34
RPL5	9	16
GIP3	141	1449
YPL142C	1	0
RPL33A	8	17
NOP53	32	80
PRP46	49	624
RAD53	74	542
CDC60	60	565
MEX67	59	354
SPT14	58	336
NAB3	43	283
TPK2	50	463
HRR25	44	389
TYW1	85	911
IPL1	26	238
SRP72	34	115
NIP7	19	160
BMS1	85	640
SAR1	23	101
CET1	35	110
FAS2	114	778
NSL1	41	204
RVB2	51	298
SUI3	8	17
YPL238C	3	3
IQG1	70	490
SRP68	15	80
YPL251W	12	25
YAH1	17	62
BBP1	33	227
DIM1	31	112
RPA135	95	823
TIF6	5	12
MCM4	68	271
CCL1	15	32
HTS1	42	185
ARP7	59	360
GLN1	48	480
TIP41	47	395
TIF5	23	190
TAH18	28	161
SEC8	88	570
TFB4	28	136
DIB1	29	180
ASA1	26	43
SUA7	26	84
SRP54	40	398
RDS3	4	19
PRE2	27	203
FHL1	65	612
COG4	53	298
YTH1	35	241
RPN7	17	71
RPC40	27	198
DBF20	84	1359
MRD1	67	452
PIS1	26	200
CLB5	43	381
CTR1	58	661
YLH47	71	935
SPN1	20	94
YPR136C	7	18
RRP9	36	245
YPR142C	41	856
RRP15	18	122
NOC4	51	338
SGV1	80	620
ORC4	25	69
RHO1	1	0
NUT2	21	202
JIP5	40	324
DPB2	49	378
BET2	21	46
YPR177C	24	106
PRP4	76	941
AOS1	8	18
SEC23	41	212
SMX3	4	3
DPM1	21	148
PZF1	21	71
RPO26	14	74
RPC82	36	238
