Gene name	Number of transposons per gene	Number of reads per gene
NAM8	49	1207
RPF1	10	44
SFB3	103	1491
BIG1	20	96
CDC12	15	92
ORC6	64	607
YHR122W	32	453
RPC10	0	0
IMP3	49	870
DNA2	98	1377
CDC23	75	1812
NMD3	51	554
SPC97	55	517
KOG1	159	3894
GPI16	85	2021
ERG9	61	1292
UTP9	71	1705
RIX1	45	846
CFD1	32	493
BET1	14	46
FAF1	61	972
RPB3	43	1022
TIM44	38	617
IRR1	124	1508
ULP2	120	2293
MET30	103	2351
NEO1	74	848
MMF1	5	15
SNP1	13	170
ARC15	14	179
YRB2	51	580
SEC6	71	1297
RPN2	142	2315
THS1	68	1380
CAB2	20	244
UTP25	106	2307
SHQ1	67	1484
MOB1	15	75
SEC24	150	3750
NUP159	177	4170
RHO3	29	718
STH1	75	920
TAO3	264	5464
CCT2	88	1383
SSL2	108	2007
NDC80	62	1033
SLN1	108	1830
MCM10	74	1609
DJP1	26	135
PAN1	126	2022
PRI1	25	421
DSN1	46	991
STS1	21	265
SQT1	67	1190
RPR2	8	99
SEC11	14	171
PRE3	19	161
OST1	29	282
CYR1	252	4167
CCT8	57	1066
YJL009W	10	172
NOP9	40	449
RPC17	11	118
CCT3	32	747
YJL015C	20	115
MPS3	73	738
RRN7	67	1382
RNR2	75	867
BET4	9	35
YJL032W	2	1
HCA4	62	693
KAR2	56	847
TAD2	22	197
NUP192	122	1204
NSP1	20	200
MTR4	171	3031
TIM54	69	1379
NUP82	29	351
UTP18	67	1398
PSF2	30	529
SMC3	85	1644
NET1	138	3256
ARP4	24	194
EXO70	77	1174
YJL086C	11	20
TRL1	45	387
DPB11	54	886
GWT1	43	441
PHS1	33	495
PAM16	8	22
IME2	82	2073
UTP10	171	2993
CCT7	32	371
ASF1	29	355
MTC1	41	606
GCD14	60	917
TIM17	29	312
SSY5	69	1559
FAR1	115	2279
TPK1	50	512
ERG20	38	643
RFA3	1	0
KRE9	16	194
CDC6	33	454
YJL195C	11	25
YJL202C	12	165
PRP21	28	635
MPP10	49	586
MRX12	74	698
POL31	17	60
SUI2	14	111
YJR012C	36	466
GPI14	35	260
ILV3	45	804
ESS1	27	427
LSM8	4	35
YJR023C	5	41
URB2	71	993
NUP85	61	846
SSC1	5	7
TAH11	36	444
CDC8	15	105
CCT5	114	3221
ARP3	65	1248
YAE1	16	81
RFC2	46	539
NPA3	63	1047
CDC11	68	1050
FIP1	22	614
SFC1	28	240
NNF1	25	345
RPS5	1	0
YJR141W	11	87
AUR1	52	1601
SFT1	13	66
PRP40	44	730
ARC19	7	6
URB1	151	2559
SWD2	30	330
RAM2	55	1113
MAK11	27	279
CDC16	90	1824
URA6	24	587
TFA1	52	657
TTI1	104	2120
UGP1	66	1209
YKL036C	18	59
SPC42	29	329
PRI2	54	1044
CSE4	25	253
ASK1	49	1204
TOA2	4	3
MPE1	48	832
FBA1	25	140
DHR2	42	607
RRP14	26	500
YKL083W	0	0
CAB3	37	650
MIF2	21	52
YJU2	27	211
UTP11	39	697
HSL1	126	1933
GFA1	54	1268
SLD2	49	532
YKL111C	13	33
ABF1	75	950
SRP21	4	9
RRN3	57	442
HSK3	15	160
SDH3	6	20
RPC25	21	296
RPT1	28	509
GPM1	22	544
YKL153W	16	331
SRP102	31	552
MCD4	118	1985
TPK3	45	376
EBP2	14	46
SNU114	53	939
RPL17A	7	61
FAS1	187	3142
MTR2	35	571
HYM1	37	414
ACP1	12	236
SDS22	31	623
MIA40	14	42
YKT6	26	297
TOR2	314	6315
LOS1	84	1155
UBA1	78	1505
PAP1	32	156
ECM9	34	351
RSC4	62	1129
NTR2	9	80
RPC37	21	56
SPC34	30	791
KAE1	51	1101
RPS21A	13	90
TFA2	6	10
LAS1	51	965
BET3	35	510
DRE2	32	433
TRZ1	83	1630
RPF2	26	214
DAD2	12	176
PRP16	108	1989
SFI1	60	946
ORC3	53	617
DRS1	47	759
SOF1	66	735
DPS1	72	1097
GPI13	73	1506
RIX7	57	775
GRC3	47	720
PRP19	16	174
YLL037W	2	1
COF1	20	270
NOC3	41	443
SSL1	53	1100
NSE1	89	1693
PAM18	16	49
RLP24	9	13
TEN1	0	0
GAT3	2	2
SDO1	44	1041
SED5	24	159
RPL15A	21	238
RSC58	9	13
STU2	107	1666
FCF2	35	523
REX2	59	1366
FRS1	77	1672
SPC3	20	306
RGR1	128	2236
RPL10	16	135
YLR076C	8	23
BOS1	29	227
SMC4	138	1987
GAA1	99	1811
HRT3	27	291
MIM2	10	63
ERG27	37	454
YLR101C	14	107
CDC45	50	585
SEN2	28	366
MDN1	390	7089
CFT2	45	941
MSL5	46	564
CLF1	99	1599
APC2	64	727
DIP2	51	813
USB1	9	96
YLR140W	8	15
RRN5	37	379
RMP1	9	164
SMD3	11	182
ACS2	88	1736
MAS1	48	899
SEC10	53	800
RPS31	12	173
CBF5	52	1230
EMG1	34	593
NMT1	9	21
PWP1	88	2111
NOP56	15	120
YLR198C	3	8
SEC13	46	823
TUB4	55	739
CDC123	28	363
CCC1	33	464
UTP13	76	1198
IFH1	105	2204
CDC42	17	104
YLR230W	7	25
GPN3	15	97
YEF3	77	1092
HSP60	39	611
YCS4	107	1964
MCM5	77	1148
SMD2	12	106
DBP9	5	8
YSH1	68	1214
GCD7	30	464
YHC1	19	196
STT4	201	3668
CDC25	150	2631
CDC3	79	1394
TAD3	48	750
YLR317W	19	150
SFH1	54	771
CWC24	39	800
RPS25B	10	19
SGD1	98	1742
YLR339C	0	0
RPP0	2	5
RPL26A	5	18
KAP95	75	1545
ILV5	49	1089
ADE13	26	124
STP3	26	459
SEC61	67	1533
YLR379W	8	92
AFG2	79	1000
SFP1	98	2173
UTP21	102	1788
SPP382	57	874
SEN1	146	2381
LSM3	0	0
SEC39	28	263
NBP1	49	855
YLR458W	15	108
GAB1	5	5
SPT5	94	1959
TAF11	25	186
NSE5	78	1515
YML6	29	212
NDC1	78	1598
RRN11	29	110
PRP39	35	218
RSE1	202	3876
TEM1	23	200
ORC1	76	1327
ITT1	21	174
POB3	22	172
BET5	12	81
TUB1	40	561
RPM2	99	1438
PRE8	5	4
UTP14	129	2739
TAF13	0	0
SEC65	14	63
TAF8	41	483
PGA3	72	1803
ERG13	72	1243
RSC9	53	1329
MSC1	40	412
ERO1	78	1618
CDC5	40	854
TAF4	16	43
SEC59	30	547
TAP42	40	558
HOF1	58	1042
ARP9	12	88
MCM1	17	167
NUP116	49	825
ERB1	60	891
SEN15	11	165
RNA14	45	515
MOT3	9	74
TVP18	7	10
PDS5	75	1196
SEC14	17	322
UTP15	73	1129
CTF13	36	718
MED11	12	120
FOL3	62	871
SPC24	16	190
ECM16	119	2761
RRB1	69	1123
ERG29	24	343
PSO2	68	722
TIF34	53	738
SWP1	46	584
MSS11	48	757
CEP3	56	1431
SPT21	86	1095
RTP1	82	1701
VTI1	29	220
CIK1	71	1010
ROT1	37	746
TOM40	15	250
ERG12	76	1374
DML1	30	317
CEF1	63	1281
TRS130	61	513
ERG8	54	1003
TAF7	49	555
RRP5	145	2472
RNA1	44	561
TAF9	12	35
RNT1	58	848
CUS1	64	1150
TIF11	1	0
PRP24	16	63
RRN9	32	497
FCP1	48	400
GPI12	10	70
HSH155	72	897
HAS1	30	537
YMR290W-A	3	2
LCB1	84	1527
LIP1	9	28
ATM1	69	1584
PSE1	68	1186
NIP1	72	1873
PRE5	22	340
RLP7	5	10
LST8	9	114
SIS1	31	334
ARK1	103	1776
KSH1	25	386
SAM50	28	430
GPI15	26	511
BDP1	52	793
NOP2	77	1398
GCD10	41	380
IMP4	19	174
TOP2	78	1003
POL1	206	3482
MET4	40	536
NOP15	12	88
DBP2	82	1155
RPC19	8	16
YNL114C	8	19
DCP2	48	487
NAF1	41	768
SPC98	66	1056
TOM22	0	0
KRE33	58	1342
NAM9	86	1667
YSF3	15	121
PGA2	8	37
YNL150W	6	8
RPC31	28	587
INN1	27	387
PGA1	14	108
CBK1	52	671
RPL42A	23	176
RIA1	125	2508
APC1	205	3818
RPS3	0	0
YNL181W	33	525
IPI3	48	491
KAR1	20	185
SRP1	19	187
RIO2	24	96
RAP1	141	3176
POP1	108	2687
SSU72	12	167
CSL4	26	372
NAR1	59	975
SUI1	28	450
CWC25	12	101
YNL247W	96	1686
NRD1	60	954
FOL1	64	876
DSL1	54	1109
LTO1	6	22
ORC5	20	78
POL2	313	5232
YIF1	48	860
PIK1	80	1260
SEC2	49	527
POP3	42	555
SEC21	82	1279
RFC3	40	593
MRPS18	11	41
KRI1	24	196
ZIM17	29	603
RFA2	5	12
EMW1	85	1671
PFS2	48	984
RPC34	40	685
PRP2	121	2173
ACC1	276	5931
TIM23	48	745
SEC12	61	813
ARC35	23	83
DBP6	28	539
MVD1	14	177
TRM112	30	352
NOG2	55	619
ESF2	34	465
RPB11	4	3
RCL1	48	700
DIS3	121	2213
TSR4	19	202
MIM1	6	13
SMC5	136	2379
PRE6	27	282
RPS15	26	403
RIB2	82	1127
NUF2	50	858
BRX1	35	701
AVO1	105	1992
RFC4	39	607
WRS1	70	1263
TPT1	21	189
RPL18A	49	743
HRP1	42	317
RPL25	3	2
ALR1	90	1259
HRT1	50	2681
YOL134C	28	789
MED7	40	542
CDC33	1	0
