Gene name	Number of transposons per gene	Number of reads per gene
SWD2	10	30
RAM2	17	122
MAK11	27	248
CDC16	52	726
URA6	5	21
TFA1	41	375
TTI1	42	417
UGP1	18	69
YKL036C	50	559
SPC42	8	49
PRI2	23	90
CSE4	8	29
ASK1	32	220
TOA2	4	4
MPE1	38	177
FBA1	4	6
DHR2	14	147
RRP14	9	26
YKL083W	3	16
CAB3	36	358
MIF2	10	34
YJU2	20	104
UTP11	15	145
HSL1	45	283
GFA1	19	94
SLD2	39	431
YKL111C	13	67
ABF1	34	211
SRP21	3	2
RRN3	21	72
HSK3	5	15
SDH3	12	33
RPC25	7	21
RPT1	7	33
GPM1	10	48
YKL153W	8	31
SRP102	13	55
MCD4	34	209
TPK3	39	586
EBP2	12	36
SNU114	28	302
RPL17A	1	0
FAS1	57	351
MTR2	10	55
HYM1	13	57
ACP1	6	15
SDS22	10	51
MIA40	6	17
YKT6	3	24
TOR2	118	900
LOS1	63	387
UBA1	24	180
PAP1	19	179
ECM9	29	115
RSC4	22	104
NTR2	16	62
RPC37	12	28
SPC34	22	92
KAE1	22	125
RPS21A	16	54
TFA2	1	0
LAS1	19	111
BET3	14	101
DRE2	19	145
TRZ1	28	166
RPF2	13	56
DAD2	6	12
PRP16	51	373
SFI1	47	527
ORC3	25	86
DRS1	27	209
SOF1	32	155
DPS1	21	112
GPI13	32	318
RIX7	20	141
GRC3	19	117
PRP19	5	8
YLL037W	11	28
COF1	11	21
NOC3	14	33
SSL1	31	574
NSE1	32	278
PAM18	5	5
RLP24	4	4
TEN1	0	0
GAT3	13	21
SDO1	18	106
SED5	11	28
RPL15A	6	12
RSC58	2	1
STU2	40	266
FCF2	18	81
REX2	66	987
FRS1	29	195
SPC3	6	8
RGR1	47	372
RPL10	3	7
YLR076C	1	0
BOS1	16	24
SMC4	41	228
GAA1	42	442
HRT3	27	199
MIM2	9	36
ERG27	11	26
YLR101C	4	9
CDC45	16	190
SEN2	12	102
MDN1	140	933
CFT2	26	131
MSL5	25	105
CLF1	44	297
APC2	23	76
DIP2	17	108
USB1	3	2
YLR140W	16	111
RRN5	6	19
RMP1	3	9
SMD3	3	9
ACS2	28	213
MAS1	16	48
SEC10	20	101
RPS31	6	17
CBF5	27	217
EMG1	13	77
NMT1	6	10
PWP1	38	201
NOP56	7	23
YLR198C	2	2
SEC13	26	295
TUB4	20	91
CDC123	21	140
CCC1	28	205
UTP13	30	132
IFH1	62	436
CDC42	7	35
YLR230W	7	100
GPN3	7	40
YEF3	26	248
HSP60	15	71
YCS4	39	148
MCM5	29	129
SMD2	5	8
DBP9	3	4
YSH1	24	258
GCD7	9	50
YHC1	18	50
STT4	64	634
CDC25	72	540
CDC3	34	278
TAD3	25	69
YLR317W	7	13
SFH1	35	184
CWC24	15	265
RPS25B	8	15
SGD1	28	216
YLR339C	3	2
RPP0	4	3
RPL26A	5	4
KAP95	25	149
ILV5	17	99
ADE13	5	6
STP3	28	296
SEC61	22	159
YLR379W	6	28
AFG2	19	53
SFP1	69	686
UTP21	33	102
SPP382	25	164
SEN1	61	925
LSM3	0	0
SEC39	16	34
NBP1	20	100
YLR458W	10	14
GAB1	1	0
SPT5	47	500
TAF11	8	33
NSE5	32	243
YML6	20	71
NDC1	27	220
RRN11	8	12
PRP39	10	19
RSE1	101	1025
TEM1	7	15
ORC1	35	277
ITT1	29	200
POB3	9	50
BET5	6	18
TUB1	14	121
RPM2	35	198
PRE8	1	0
UTP14	60	374
TAF13	1	0
SEC65	4	9
TAF8	23	111
PGA3	16	172
ERG13	25	98
RSC9	24	95
MSC1	41	214
ERO1	24	208
CDC5	25	136
TAF4	5	6
SEC59	14	54
TAP42	13	54
HOF1	38	403
ARP9	12	17
MCM1	14	26
NUP116	41	340
ERB1	21	109
SEN15	4	15
RNA14	14	71
MOT3	10	31
TVP18	12	39
PDS5	48	338
SEC14	8	39
UTP15	26	167
CTF13	9	32
MED11	4	23
FOL3	24	130
SPC24	3	14
ECM16	52	321
RRB1	25	138
ERG29	24	116
PSO2	53	348
TIF34	18	115
SWP1	17	76
MSS11	48	447
CEP3	22	211
SPT21	72	608
RTP1	34	204
VTI1	8	51
CIK1	38	187
ROT1	12	80
TOM40	6	55
ERG12	28	202
DML1	16	47
CEF1	30	388
TRS130	21	117
ERG8	36	242
TAF7	17	108
RRP5	72	277
RNA1	15	88
TAF9	2	1
RNT1	20	130
CUS1	45	289
TIF11	0	0
PRP24	4	4
RRN9	14	86
FCP1	19	69
GPI12	7	39
HSH155	36	370
HAS1	9	21
YMR290W-A	9	42
LCB1	33	274
LIP1	3	3
ATM1	20	134
PSE1	25	154
NIP1	33	179
PRE5	17	91
RLP7	4	8
LST8	4	7
SIS1	11	32
ARK1	94	1358
KSH1	11	51
SAM50	13	33
GPI15	12	39
BDP1	28	159
NOP2	26	229
GCD10	22	367
IMP4	16	56
TOP2	31	117
POL1	89	681
MET4	24	113
NOP15	5	5
DBP2	43	300
RPC19	3	3
YNL114C	6	18
DCP2	42	332
NAF1	22	128
SPC98	30	222
TOM22	1	0
KRE33	29	156
NAM9	38	286
YSF3	8	30
PGA2	4	3
YNL150W	4	3
RPC31	11	40
INN1	9	93
PGA1	6	5
CBK1	37	402
RPL42A	12	73
RIA1	36	351
APC1	63	507
RPS3	0	0
YNL181W	17	69
IPI3	19	114
KAR1	4	14
SRP1	4	16
RIO2	11	56
RAP1	59	396
POP1	39	310
SSU72	3	13
CSL4	7	35
NAR1	25	164
SUI1	8	41
CWC25	4	4
YNL247W	36	208
NRD1	18	79
FOL1	28	166
DSL1	40	573
LTO1	9	21
ORC5	13	16
POL2	112	653
YIF1	16	134
PIK1	31	177
SEC2	26	113
POP3	23	331
SEC21	40	159
RFC3	21	141
MRPS18	11	77
KRI1	10	16
ZIM17	14	46
RFA2	6	6
EMW1	33	185
PFS2	27	124
RPC34	23	89
PRP2	59	417
ACC1	92	651
TIM23	17	120
SEC12	27	318
ARC35	23	135
DBP6	14	54
MVD1	9	72
TRM112	5	14
NOG2	18	77
ESF2	15	60
RPB11	1	0
RCL1	27	345
DIS3	47	235
TSR4	5	4
MIM1	4	3
SMC5	46	270
PRE6	13	23
RPS15	9	39
RIB2	49	466
NUF2	19	61
BRX1	15	95
AVO1	64	487
RFC4	15	93
WRS1	26	233
TPT1	3	13
RPL18A	17	105
HRP1	10	36
RPL25	0	0
