Gene name	Number of transposons per gene	Number of reads per gene
NET1	64	456
ARP4	7	28
EXO70	24	99
YJL086C	30	171
TRL1	11	32
DPB11	21	86
GWT1	15	72
PHS1	14	40
PAM16	4	24
IME2	41	222
UTP10	60	400
CCT7	14	70
ASF1	20	68
MTC1	40	376
GCD14	16	127
TIM17	9	42
SSY5	26	299
FAR1	71	1243
TPK1	33	481
ERG20	13	134
RFA3	0	0
KRE9	4	5
CDC6	9	26
YJL195C	2	2
YJL202C	15	176
PRP21	16	235
MPP10	27	143
MRX12	129	1657
POL31	5	5
SUI2	9	23
YJR012C	47	645
GPI14	8	18
ILV3	13	42
ESS1	10	24
LSM8	2	2
YJR023C	4	4
URB2	22	266
NUP85	21	101
SSC1	7	17
TAH11	13	53
CDC8	6	7
CCT5	39	291
ARP3	24	108
YAE1	4	7
RFC2	12	22
NPA3	44	332
CDC11	25	230
FIP1	9	36
SFC1	34	611
NNF1	10	41
RPS5	0	0
YJR141W	3	2
AUR1	25	171
SFT1	10	46
PRP40	48	302
ARC19	1	0
URB1	54	342
SWD2	9	16
RAM2	11	125
MAK11	33	402
CDC16	48	584
URA6	6	27
TFA1	39	300
TTI1	32	234
UGP1	19	51
YKL036C	51	661
SPC42	10	65
PRI2	20	185
CSE4	12	39
ASK1	33	459
TOA2	4	3
MPE1	28	162
FBA1	6	6
DHR2	22	291
RRP14	15	44
YKL083W	6	16
CAB3	22	128
MIF2	3	2
YJU2	13	91
UTP11	17	105
HSL1	36	246
GFA1	17	79
SLD2	22	167
YKL111C	10	133
ABF1	22	204
SRP21	7	34
RRN3	24	124
HSK3	8	21
SDH3	7	11
RPC25	6	18
RPT1	9	43
GPM1	5	7
YKL153W	4	3
SRP102	11	46
MCD4	36	247
TPK3	31	301
EBP2	11	20
SNU114	25	140
RPL17A	2	1
FAS1	52	320
MTR2	8	23
HYM1	12	140
ACP1	5	20
SDS22	11	36
MIA40	7	11
YKT6	12	37
TOR2	103	1074
LOS1	52	391
UBA1	22	98
PAP1	22	453
ECM9	24	107
