Gene name	Number of transposons per gene	Number of reads per gene
GPI13	49	475
RIX7	48	296
GRC3	33	153
PRP19	11	77
YLL037W	7	120
COF1	16	76
NOC3	50	324
SSL1	48	726
NSE1	45	539
PAM18	15	31
RLP24	5	5
TEN1	2	1
GAT3	8	25
SDO1	39	346
SED5	15	103
RPL15A	11	51
RSC58	8	11
STU2	86	687
FCF2	30	124
REX2	84	3726
FRS1	37	391
SPC3	20	54
RGR1	85	882
RPL10	9	83
YLR076C	6	6
BOS1	28	302
SMC4	86	492
GAA1	99	965
HRT3	22	331
MIM2	21	162
ERG27	22	100
YLR101C	6	47
CDC45	40	186
SEN2	15	123
MDN1	258	2628
CFT2	24	120
MSL5	40	376
CLF1	66	611
APC2	48	374
DIP2	41	379
USB1	20	57
YLR140W	29	510
RRN5	29	256
RMP1	7	18
SMD3	14	100
ACS2	45	766
MAS1	24	239
SEC10	37	390
RPS31	10	45
CBF5	42	345
EMG1	14	62
NMT1	9	8
PWP1	73	765
NOP56	19	220
YLR198C	4	4
SEC13	31	370
TUB4	31	368
CDC123	42	517
CCC1	33	242
UTP13	50	383
IFH1	86	1287
CDC42	10	34
YLR230W	5	5
GPN3	10	23
YEF3	46	224
HSP60	27	237
YCS4	57	410
MCM5	51	327
SMD2	8	40
DBP9	12	11
YSH1	61	408
GCD7	25	209
YHC1	26	200
STT4	96	751
CDC25	86	866
CDC3	40	459
TAD3	31	293
YLR317W	11	59
SFH1	39	528
CWC24	24	285
RPS25B	23	97
SGD1	53	710
YLR339C	4	3
RPP0	3	2
RPL26A	22	164
KAP95	49	377
ILV5	44	451
ADE13	17	27
STP3	47	990
SEC61	47	381
YLR379W	14	32
AFG2	44	205
SFP1	76	887
UTP21	59	464
SPP382	34	454
SEN1	101	923
LSM3	1	0
SEC39	14	75
NBP1	47	777
YLR458W	18	181
GAB1	8	8
SPT5	89	2058
TAF11	30	86
NSE5	49	346
YML6	35	191
NDC1	50	624
RRN11	16	132
PRP39	20	133
RSE1	140	2144
TEM1	17	41
ORC1	56	693
ITT1	44	268
POB3	15	89
BET5	8	34
TUB1	28	106
RPM2	59	418
PRE8	6	8
UTP14	102	1100
TAF13	1	0
SEC65	18	47
TAF8	43	504
PGA3	36	469
ERG13	47	529
RSC9	34	265
MSC1	66	840
ERO1	54	404
CDC5	37	323
TAF4	42	180
SEC59	22	244
TAP42	22	188
HOF1	57	851
ARP9	12	62
MCM1	16	28
NUP116	49	346
ERB1	27	204
SEN15	13	82
RNA14	36	116
MOT3	6	10
TVP18	16	308
PDS5	72	1007
SEC14	17	91
UTP15	44	237
CTF13	24	307
MED11	19	150
FOL3	44	565
SPC24	17	41
ECM16	74	764
RRB1	35	198
ERG29	36	341
PSO2	92	2031
TIF34	40	425
SWP1	27	117
MSS11	64	984
CEP3	38	325
SPT21	88	1044
RTP1	49	492
VTI1	17	67
CIK1	47	491
ROT1	19	64
TOM40	13	68
ERG12	38	334
DML1	15	97
CEF1	60	1141
TRS130	55	747
ERG8	52	289
TAF7	51	604
RRP5	79	647
RNA1	28	156
TAF9	7	8
RNT1	47	325
CUS1	86	1068
TIF11	0	0
PRP24	4	6
RRN9	31	513
FCP1	40	282
GPI12	12	40
HSH155	51	531
HAS1	19	137
YMR290W-A	6	41
LCB1	50	601
LIP1	9	10
ATM1	53	304
PSE1	42	640
NIP1	45	312
PRE5	22	125
RLP7	17	51
LST8	11	56
SIS1	30	159
ARK1	137	2326
KSH1	17	120
SAM50	34	128
GPI15	19	83
BDP1	37	489
NOP2	60	439
GCD10	45	374
IMP4	17	29
TOP2	51	414
POL1	134	1551
MET4	40	484
NOP15	11	18
DBP2	66	608
RPC19	10	13
YNL114C	10	50
DCP2	52	600
NAF1	36	367
SPC98	54	472
TOM22	4	3
KRE33	44	482
NAM9	63	821
YSF3	12	13
PGA2	6	31
YNL150W	5	4
RPC31	21	177
INN1	25	515
PGA1	9	11
CBK1	74	700
RPL42A	13	131
RIA1	71	642
APC1	156	1670
RPS3	1	0
YNL181W	22	133
IPI3	31	219
KAR1	19	63
SRP1	10	14
RIO2	16	82
RAP1	96	916
POP1	85	965
SSU72	7	9
CSL4	11	54
NAR1	43	473
SUI1	26	185
CWC25	6	23
YNL247W	74	733
NRD1	50	361
FOL1	59	622
DSL1	58	998
LTO1	8	24
ORC5	15	32
POL2	199	1935
YIF1	26	168
PIK1	53	409
SEC2	45	322
POP3	42	1007
SEC21	42	423
RFC3	26	334
MRPS18	12	22
KRI1	26	84
ZIM17	25	295
RFA2	8	12
EMW1	53	415
PFS2	44	331
RPC34	55	795
PRP2	91	1235
ACC1	169	1591
TIM23	27	349
SEC12	35	756
ARC35	24	60
DBP6	30	135
MVD1	15	62
TRM112	11	106
NOG2	36	130
ESF2	31	190
RPB11	10	10
RCL1	31	190
DIS3	65	562
TSR4	15	73
MIM1	29	40
SMC5	98	1129
PRE6	25	175
RPS15	22	132
RIB2	84	1156
NUF2	22	155
BRX1	20	158
AVO1	126	1842
RFC4	23	161
WRS1	50	393
TPT1	34	204
RPL18A	20	142
HRP1	31	146
RPL25	0	0
ALR1	71	1308
HRT1	20	198
YOL134C	45	535
MED7	29	178
CDC33	5	8
NOP8	27	236
PSF3	17	79
DCP1	16	22
UTP23	19	88
HSP10	0	0
DBP5	52	447
RAT1	53	249
NOB1	81	936
SGT1	33	142
SLD7	31	170
RPL3	14	82
CDC21	29	289
UFE1	36	403
RTS2	46	530
RKI1	13	43
NUP1	46	315
YOR102W	3	3
OST2	3	3
VAM3	19	146
TFC7	35	226
RPO31	83	600
RPT5	41	434
RIO1	33	199
PFY1	11	17
THI80	42	207
YOR146W	7	8
SPP2	12	154
SMP3	36	224
RPB2	79	701
PDR5	149	2735
PUP1	31	193
SME1	9	54
MTR10	36	225
GLN4	49	289
YOR169C	9	12
MED4	20	281
HEM15	37	450
LAS17	30	234
TOA1	9	8
YOR203W	24	467
DED1	27	221
NOC2	42	420
RET1	63	373
RPB10	7	7
RFC1	79	707
YOR218C	9	101
RPB8	17	114
WTM2	113	3328
MGE1	17	25
KIN4	130	2247
DFR1	26	291
ESA1	35	423
APC5	22	83
CLP1	23	160
SEC63	36	311
TRE2	37	157
CDC31	1	0
RPT4	31	213
GCD1	38	302
RPN8	15	36
GPN2	31	153
FSF1	66	801
YTM1	16	62
HEM4	22	172
PLP2	20	200
YOR282W	18	381
RRP36	14	24
RRS1	7	14
NOP58	18	57
HSH49	10	11
MYO2	109	869
SCD5	48	342
ALA1	97	720
KRE5	77	946
RPA43	22	89
RPA190	75	518
SOG2	84	997
PRT1	71	654
PRE10	16	106
MRS6	32	240
NDD1	29	311
NUD1	48	465
TFC8	43	367
RET3	12	72
TAF3	54	494
RRP12	74	630
SWI1	52	364
ULP1	27	246
ERG10	17	30
NOP4	90	524
TIM50	41	366
GCR1	55	409
GPI2	20	95
MOT1	158	2099
SEN54	17	185
SEC16	96	1140
NOG1	69	1117
SEC62	49	617
IDI1	46	506
TFB2	24	83
SPC29	11	84
NAN1	52	314
TBF1	12	51
RPL5	13	28
GIP3	147	3126
YPL142C	2	1
RPL33A	11	57
NOP53	31	286
PRP46	53	600
RAD53	55	476
CDC60	72	893
MEX67	50	623
SPT14	63	645
NAB3	45	422
TPK2	44	480
HRR25	68	513
TYW1	76	1234
IPL1	27	570
SRP72	41	163
NIP7	18	211
BMS1	94	1015
SAR1	25	136
CET1	26	122
FAS2	107	1147
NSL1	45	372
RVB2	53	522
SUI3	6	7
YPL238C	0	0
IQG1	71	838
SRP68	13	40
YPL251W	6	5
YAH1	13	111
BBP1	34	288
DIM1	20	78
RPA135	74	878
TIF6	4	5
MCM4	72	616
CCL1	22	58
HTS1	47	399
ARP7	41	319
GLN1	47	457
TIP41	48	405
TIF5	26	110
TAH18	29	201
SEC8	104	1146
TFB4	36	209
DIB1	36	379
ASA1	20	30
SUA7	20	221
SRP54	51	649
RDS3	12	48
PRE2	29	221
