Gene name	Number of transposons per gene	Number of reads per gene
DRE2	21	94
TRZ1	40	255
RPF2	17	118
DAD2	6	14
PRP16	66	491
SFI1	36	409
ORC3	34	193
DRS1	30	182
SOF1	29	115
DPS1	32	293
GPI13	35	486
RIX7	40	320
GRC3	30	305
PRP19	5	13
YLL037W	5	6
COF1	11	37
NOC3	25	78
SSL1	60	1350
NSE1	46	656
PAM18	7	45
RLP24	4	6
TEN1	0	0
GAT3	3	3
SDO1	17	138
SED5	17	94
RPL15A	4	13
RSC58	9	23
STU2	41	229
FCF2	20	128
REX2	47	394
FRS1	41	295
SPC3	15	78
RGR1	67	1074
RPL10	6	104
YLR076C	4	3
BOS1	10	47
SMC4	76	469
GAA1	74	748
HRT3	15	66
MIM2	4	3
ERG27	22	213
YLR101C	15	153
CDC45	24	113
SEN2	13	108
MDN1	226	2069
CFT2	22	162
MSL5	24	150
CLF1	59	536
APC2	35	269
DIP2	28	232
USB1	4	4
YLR140W	7	12
RRN5	20	108
RMP1	3	22
SMD3	8	138
ACS2	46	479
MAS1	33	178
SEC10	20	95
RPS31	5	11
CBF5	33	189
EMG1	13	173
NMT1	2	1
PWP1	61	627
NOP56	12	53
YLR198C	3	2
SEC13	33	357
TUB4	25	222
CDC123	29	205
CCC1	19	93
UTP13	25	180
IFH1	63	612
CDC42	8	16
YLR230W	5	30
GPN3	8	40
YEF3	40	402
HSP60	11	58
YCS4	42	431
MCM5	36	270
SMD2	6	13
DBP9	20	78
YSH1	44	282
GCD7	10	64
YHC1	14	108
STT4	86	861
CDC25	87	1087
CDC3	39	460
TAD3	27	140
YLR317W	9	35
SFH1	36	396
CWC24	33	278
RPS25B	6	5
SGD1	38	283
YLR339C	2	1
RPP0	4	4
RPL26A	4	3
KAP95	51	470
ILV5	21	192
ADE13	11	30
STP3	16	113
SEC61	35	289
YLR379W	5	16
AFG2	35	159
SFP1	84	989
UTP21	44	265
SPP382	28	145
SEN1	83	629
LSM3	0	0
SEC39	8	28
NBP1	31	204
YLR458W	8	20
GAB1	2	1
SPT5	54	521
TAF11	11	23
NSE5	47	414
YML6	14	16
NDC1	37	469
RRN11	19	49
PRP39	12	28
RSE1	106	1127
TEM1	9	19
ORC1	49	417
ITT1	9	16
POB3	9	136
BET5	4	6
TUB1	26	178
RPM2	38	273
PRE8	3	2
UTP14	76	490
TAF13	2	1
SEC65	6	8
TAF8	31	157
PGA3	26	232
ERG13	45	364
RSC9	22	144
MSC1	29	125
ERO1	38	340
CDC5	25	208
TAF4	9	10
SEC59	19	150
TAP42	19	151
HOF1	51	477
ARP9	5	6
MCM1	13	24
NUP116	20	108
ERB1	22	158
SEN15	6	50
RNA14	23	91
MOT3	3	5
TVP18	1	0
PDS5	36	178
SEC14	17	91
UTP15	42	358
CTF13	20	62
MED11	9	38
FOL3	35	348
SPC24	3	4
ECM16	67	583
RRB1	26	107
ERG29	17	89
PSO2	35	158
TIF34	31	375
SWP1	22	134
MSS11	30	150
CEP3	36	374
SPT21	61	519
RTP1	39	266
VTI1	11	49
CIK1	31	122
ROT1	19	138
TOM40	11	28
ERG12	34	296
DML1	20	59
CEF1	43	516
TRS130	43	271
ERG8	31	154
TAF7	18	46
RRP5	81	491
RNA1	19	75
TAF9	3	5
RNT1	26	125
CUS1	43	298
TIF11	1	0
PRP24	3	2
