Gene name	Number of transposons per gene	Number of reads per gene
YKL153W	3	2
SRP102	5	4
MCD4	17	19
TPK3	9	17
EBP2	2	1
SNU114	6	6
RPL17A	0	0
FAS1	20	22
MTR2	3	2
HYM1	5	4
ACP1	4	3
SDS22	8	8
MIA40	2	1
YKT6	3	2
TOR2	47	58
LOS1	18	21
UBA1	11	11
PAP1	4	4
ECM9	8	11
RSC4	13	14
NTR2	1	0
RPC37	5	4
SPC34	8	7
KAE1	10	11
RPS21A	1	0
TFA2	1	0
LAS1	10	13
BET3	5	4
DRE2	3	2
TRZ1	10	12
RPF2	8	7
DAD2	2	1
PRP16	16	17
SFI1	10	11
ORC3	8	10
DRS1	8	9
SOF1	11	14
DPS1	12	17
GPI13	17	16
RIX7	6	6
GRC3	8	7
PRP19	3	2
YLL037W	1	0
COF1	1	0
NOC3	5	5
SSL1	14	18
NSE1	13	12
PAM18	4	3
RLP24	2	1
TEN1	0	0
GAT3	0	0
SDO1	5	4
SED5	2	1
RPL15A	5	5
RSC58	0	0
STU2	13	12
FCF2	6	6
REX2	12	57
FRS1	16	16
SPC3	6	5
RGR1	31	118
RPL10	3	2
YLR076C	1	0
BOS1	5	4
SMC4	18	22
GAA1	13	14
HRT3	8	8
MIM2	0	0
ERG27	7	6
YLR101C	1	0
CDC45	5	4
SEN2	5	6
MDN1	55	62
CFT2	8	7
MSL5	10	10
CLF1	19	22
APC2	12	12
DIP2	11	14
USB1	1	0
YLR140W	0	0
RRN5	2	1
RMP1	2	1
SMD3	0	0
ACS2	22	25
MAS1	8	8
SEC10	7	7
RPS31	2	1
CBF5	11	12
EMG1	7	6
NMT1	1	0
PWP1	13	13
NOP56	2	1
YLR198C	0	0
SEC13	11	12
TUB4	7	6
CDC123	5	4
CCC1	10	10
UTP13	19	24
IFH1	15	24
CDC42	1	0
YLR230W	0	0
GPN3	3	2
YEF3	14	15
HSP60	5	4
YCS4	19	24
MCM5	5	4
SMD2	0	0
DBP9	0	0
YSH1	7	6
GCD7	7	6
YHC1	2	1
STT4	34	37
CDC25	27	36
CDC3	10	11
TAD3	8	8
YLR317W	5	4
SFH1	9	11
CWC24	9	9
RPS25B	1	0
SGD1	18	19
YLR339C	0	0
RPP0	0	0
RPL26A	1	0
KAP95	10	9
ILV5	8	8
ADE13	7	6
STP3	4	3
SEC61	11	12
YLR379W	1	0
AFG2	10	11
SFP1	21	26
UTP21	18	18
SPP382	11	10
SEN1	22	27
LSM3	0	0
SEC39	6	7
NBP1	8	8
YLR458W	4	3
GAB1	1	0
SPT5	17	19
TAF11	1	0
NSE5	13	14
YML6	7	9
NDC1	13	15
RRN11	6	5
PRP39	3	2
RSE1	40	58
TEM1	1	0
ORC1	10	9
ITT1	2	1
POB3	4	3
BET5	1	0
TUB1	3	2
RPM2	15	17
PRE8	1	0
UTP14	18	20
TAF13	0	0
SEC65	0	0
TAF8	7	8
PGA3	11	10
ERG13	11	11
RSC9	6	6
MSC1	4	3
ERO1	13	15
CDC5	11	13
TAF4	3	2
SEC59	4	4
TAP42	8	7
HOF1	14	13
ARP9	4	3
MCM1	3	2
NUP116	9	9
ERB1	7	6
SEN15	0	0
RNA14	6	6
MOT3	1	0
TVP18	2	1
PDS5	9	10
SEC14	1	0
UTP15	5	5
CTF13	5	4
MED11	1	0
FOL3	12	11
SPC24	4	3
ECM16	13	16
RRB1	11	13
ERG29	3	2
PSO2	12	15
TIF34	7	7
SWP1	8	8
MSS11	5	4
CEP3	10	9
SPT21	19	23
RTP1	19	26
VTI1	7	7
CIK1	13	16
ROT1	11	11
TOM40	1	0
ERG12	7	6
DML1	2	1
CEF1	11	12
TRS130	9	22
ERG8	7	7
TAF7	10	10
RRP5	21	23
RNA1	8	7
TAF9	3	3
RNT1	9	8
CUS1	9	10
TIF11	0	0
PRP24	3	2
RRN9	3	2
FCP1	12	15
GPI12	1	0
HSH155	16	17
HAS1	7	6
YMR290W-A	1	0
LCB1	12	13
LIP1	2	1
ATM1	8	8
PSE1	14	17
NIP1	10	15
PRE5	6	6
RLP7	0	0
LST8	1	0
SIS1	8	9
ARK1	25	40
KSH1	2	1
SAM50	1	0
GPI15	2	1
BDP1	11	12
NOP2	14	16
GCD10	8	11
IMP4	2	1
TOP2	17	17
POL1	43	52
MET4	9	8
NOP15	1	0
DBP2	14	14
RPC19	3	3
YNL114C	5	6
DCP2	7	6
NAF1	9	13
SPC98	10	12
TOM22	0	0
KRE33	8	7
NAM9	14	16
YSF3	5	6
PGA2	2	1
YNL150W	2	1
RPC31	4	3
INN1	8	7
PGA1	0	0
CBK1	5	5
RPL42A	4	4
RIA1	13	15
APC1	43	53
RPS3	0	0
YNL181W	7	7
IPI3	4	3
KAR1	6	5
SRP1	5	4
RIO2	4	3
RAP1	19	23
POP1	29	39
SSU72	2	1
CSL4	4	4
NAR1	13	16
SUI1	2	2
CWC25	2	1
YNL247W	23	29
NRD1	3	2
FOL1	8	9
DSL1	7	6
LTO1	0	0
ORC5	2	1
POL2	56	69
YIF1	9	11
PIK1	13	14
SEC2	8	7
POP3	9	9
SEC21	8	7
RFC3	9	11
MRPS18	1	0
KRI1	4	3
ZIM17	5	4
RFA2	1	0
EMW1	18	22
PFS2	6	5
RPC34	6	6
PRP2	20	22
ACC1	40	62
TIM23	14	13
SEC12	15	16
ARC35	5	4
DBP6	2	1
MVD1	2	1
TRM112	5	5
NOG2	7	6
ESF2	4	3
RPB11	1	0
RCL1	5	4
DIS3	30	37
TSR4	2	1
MIM1	4	3
SMC5	22	25
PRE6	5	4
RPS15	7	9
RIB2	14	22
NUF2	6	6
BRX1	12	14
AVO1	13	13
RFC4	2	1
WRS1	10	10
TPT1	4	3
RPL18A	9	8
HRP1	5	4
RPL25	0	0
ALR1	14	19
HRT1	7	6
YOL134C	3	3
MED7	5	5
CDC33	0	0
NOP8	3	2
PSF3	2	1
DCP1	1	0
UTP23	3	2
HSP10	0	0
DBP5	19	28
RAT1	8	8
NOB1	11	24
SGT1	6	8
SLD7	6	5
RPL3	4	3
CDC21	8	9
UFE1	4	3
RTS2	3	2
RKI1	3	2
NUP1	10	10
YOR102W	2	1
OST2	2	1
VAM3	5	5
TFC7	7	10
RPO31	23	28
RPT5	3	2
RIO1	9	8
PFY1	3	3
THI80	6	5
YOR146W	1	0
SPP2	0	0
SMP3	16	17
RPB2	25	36
PDR5	22	26
PUP1	8	9
SME1	6	6
MTR10	12	14
GLN4	12	12
YOR169C	3	2
MED4	5	5
HEM15	9	12
LAS17	2	5
TOA1	2	1
YOR203W	1	0
DED1	9	8
NOC2	12	14
RET1	10	10
RPB10	2	1
RFC1	10	15
YOR218C	0	0
RPB8	0	0
WTM2	6	55
MGE1	6	5
KIN4	21	23
DFR1	10	13
ESA1	9	10
APC5	5	4
CLP1	3	2
SEC63	9	8
TRE2	7	7
CDC31	1	0
RPT4	9	9
GCD1	12	14
RPN8	4	3
GPN2	2	1
FSF1	14	13
YTM1	4	4
HEM4	3	2
PLP2	6	5
YOR282W	0	0
RRP36	1	0
RRS1	1	0
NOP58	7	6
HSH49	0	0
MYO2	27	33
SCD5	14	17
ALA1	19	23
KRE5	22	28
RPA43	4	3
RPA190	15	18
SOG2	12	13
PRT1	20	25
PRE10	3	3
MRS6	7	6
NDD1	7	7
NUD1	7	8
TFC8	5	6
RET3	0	0
TAF3	13	15
RRP12	15	17
SWI1	14	17
ULP1	3	2
ERG10	7	6
NOP4	9	11
TIM50	11	12
GCR1	6	5
GPI2	2	2
MOT1	31	32
SEN54	8	9
SEC16	31	102
NOG1	18	20
SEC62	8	8
IDI1	5	7
TFB2	13	20
SPC29	1	0
NAN1	7	6
TBF1	0	0
RPL5	1	0
GIP3	18	18
YPL142C	1	0
