Gene name	Number of transposons per gene	Number of reads per gene
SEC12	61	1015
ARC35	26	223
DBP6	22	129
MVD1	19	52
TRM112	19	78
NOG2	29	119
ESF2	22	110
RPB11	3	2
RCL1	44	286
DIS3	67	482
TSR4	13	47
MIM1	18	27
SMC5	82	550
PRE6	22	85
RPS15	17	221
RIB2	68	713
NUF2	27	147
BRX1	23	145
AVO1	100	1226
RFC4	23	301
WRS1	36	340
TPT1	13	65
RPL18A	22	121
HRP1	34	227
RPL25	0	0
ALR1	76	922
HRT1	35	572
YOL134C	48	522
MED7	27	354
CDC33	3	2
NOP8	17	103
PSF3	11	67
DCP1	7	8
UTP23	28	119
HSP10	0	0
DBP5	54	408
RAT1	52	440
NOB1	47	316
SGT1	23	94
SLD7	23	172
RPL3	15	136
CDC21	35	373
UFE1	33	179
RTS2	17	65
RKI1	17	71
NUP1	24	132
YOR102W	7	11
OST2	5	5
VAM3	13	105
TFC7	17	54
RPO31	94	962
RPT5	33	284
RIO1	32	218
PFY1	8	16
THI80	34	107
YOR146W	5	7
SPP2	8	39
SMP3	44	229
RPB2	101	925
PDR5	141	1396
PUP1	26	222
SME1	11	115
MTR10	43	253
GLN4	47	275
YOR169C	4	4
MED4	38	552
HEM15	56	639
LAS17	21	118
TOA1	5	5
YOR203W	13	51
DED1	31	215
NOC2	58	599
RET1	80	432
RPB10	9	9
RFC1	71	452
YOR218C	5	8
RPB8	16	100
WTM2	72	701
MGE1	17	57
KIN4	83	723
DFR1	21	312
ESA1	39	505
APC5	16	43
CLP1	18	186
SEC63	29	190
TRE2	42	225
CDC31	2	1
RPT4	35	221
GCD1	41	313
RPN8	8	12
GPN2	22	177
FSF1	44	324
YTM1	20	107
HEM4	22	113
PLP2	22	93
YOR282W	19	158
RRP36	14	25
RRS1	5	9
NOP58	15	73
HSH49	12	13
MYO2	99	681
SCD5	47	225
ALA1	82	613
KRE5	88	758
RPA43	19	131
RPA190	95	934
SOG2	65	576
PRT1	73	611
PRE10	17	38
MRS6	27	280
NDD1	22	93
NUD1	63	603
TFC8	43	410
RET3	7	27
TAF3	48	345
RRP12	83	682
SWI1	51	467
ULP1	22	90
ERG10	26	155
NOP4	89	485
TIM50	56	391
GCR1	39	238
GPI2	17	67
MOT1	157	1848
SEN54	24	93
SEC16	152	5478
NOG1	78	1090
SEC62	30	282
IDI1	44	543
TFB2	44	398
SPC29	16	97
NAN1	42	280
TBF1	15	73
RPL5	11	40
GIP3	88	865
YPL142C	1	0
RPL33A	10	63
NOP53	28	57
PRP46	48	665
RAD53	55	404
CDC60	91	1001
MEX67	48	335
SPT14	58	479
NAB3	64	406
TPK2	38	319
HRR25	49	385
TYW1	60	565
IPL1	20	30
SRP72	26	99
NIP7	27	189
BMS1	86	567
SAR1	24	78
CET1	20	73
FAS2	133	1400
NSL1	48	195
