Gene name	Number of transposons per gene	Number of reads per gene
SPC42	7	38
PRI2	20	194
CSE4	4	49
ASK1	34	1095
TOA2	0	0
MPE1	40	926
FBA1	3	27
DHR2	6	37
RRP14	21	415
YKL083W	3	2
CAB3	18	288
MIF2	1	0
YJU2	14	302
UTP11	9	101
HSL1	87	1547
GFA1	14	260
SLD2	11	166
YKL111C	5	46
ABF1	17	226
SRP21	7	133
RRN3	16	223
HSK3	3	57
SDH3	7	23
RPC25	2	7
RPT1	6	12
GPM1	3	32
YKL153W	3	18
SRP102	7	31
MCD4	21	223
TPK3	35	684
EBP2	3	13
SNU114	4	3
RPL17A	4	19
FAS1	28	484
MTR2	10	62
HYM1	3	19
ACP1	3	18
SDS22	11	77
MIA40	3	2
YKT6	4	19
TOR2	50	917
LOS1	43	916
UBA1	29	364
PAP1	32	2714
ECM9	35	225
RSC4	12	102
NTR2	31	387
RPC37	10	103
SPC34	19	137
KAE1	9	271
RPS21A	15	131
TFA2	2	17
LAS1	5	28
BET3	11	72
DRE2	10	41
TRZ1	17	316
RPF2	5	9
DAD2	4	5
PRP16	29	681
SFI1	57	4286
ORC3	7	57
DRS1	31	856
SOF1	17	306
DPS1	5	42
GPI13	17	197
RIX7	11	291
GRC3	6	58
PRP19	4	23
YLL037W	10	25
COF1	4	90
NOC3	29	468
SSL1	33	2414
NSE1	13	89
PAM18	0	0
RLP24	2	43
TEN1	0	0
GAT3	13	57
SDO1	15	164
SED5	2	1
RPL15A	6	36
RSC58	2	7
STU2	57	989
FCF2	8	291
REX2	55	2516
FRS1	24	482
SPC3	7	80
RGR1	31	387
RPL10	2	5
YLR076C	0	0
BOS1	15	165
SMC4	17	278
GAA1	16	292
HRT3	23	503
MIM2	10	143
ERG27	7	17
YLR101C	1	0
CDC45	11	104
SEN2	5	24
MDN1	48	769
CFT2	10	63
MSL5	17	304
CLF1	28	299
APC2	16	278
DIP2	17	256
USB1	0	0
YLR140W	13	44
RRN5	2	1
RMP1	4	51
SMD3	2	1
ACS2	15	261
MAS1	12	118
SEC10	7	92
RPS31	9	105
CBF5	18	487
EMG1	8	101
NMT1	3	2
PWP1	21	333
NOP56	5	105
YLR198C	4	84
SEC13	7	111
TUB4	7	159
CDC123	2	10
CCC1	20	321
UTP13	15	64
IFH1	42	904
CDC42	2	1
YLR230W	6	9
GPN3	0	0
YEF3	7	114
HSP60	12	145
YCS4	19	240
MCM5	15	252
SMD2	4	18
DBP9	0	0
YSH1	4	15
GCD7	6	92
YHC1	10	39
STT4	36	496
CDC25	25	359
CDC3	21	458
TAD3	18	162
YLR317W	6	11
SFH1	16	275
CWC24	10	189
RPS25B	2	2
SGD1	29	524
YLR339C	0	0
RPP0	0	0
RPL26A	8	18
KAP95	11	118
ILV5	12	120
ADE13	5	6
STP3	17	436
SEC61	24	409
YLR379W	7	136
AFG2	10	124
SFP1	22	391
UTP21	24	217
SPP382	25	394
SEN1	22	457
LSM3	0	0
SEC39	13	103
NBP1	13	148
YLR458W	2	2
GAB1	4	3
SPT5	73	2101
TAF11	7	18
NSE5	16	204
YML6	39	760
NDC1	21	446
RRN11	6	75
PRP39	12	179
RSE1	46	816
TEM1	9	62
ORC1	10	54
ITT1	31	506
POB3	0	0
BET5	6	27
TUB1	4	85
RPM2	41	745
PRE8	0	0
UTP14	43	1184
TAF13	0	0
SEC65	1	0
TAF8	26	801
PGA3	20	403
ERG13	10	151
RSC9	14	249
MSC1	38	686
ERO1	17	214
CDC5	13	404
TAF4	20	225
SEC59	15	155
TAP42	4	29
HOF1	42	1184
ARP9	4	4
MCM1	10	162
NUP116	42	674
ERB1	18	175
SEN15	3	29
RNA14	5	10
MOT3	23	279
TVP18	13	212
PDS5	30	495
SEC14	2	17
UTP15	5	30
CTF13	3	3
MED11	2	32
FOL3	9	166
SPC24	3	15
ECM16	19	340
RRB1	7	62
ERG29	14	318
PSO2	37	698
TIF34	7	85
SWP1	8	25
MSS11	21	266
CEP3	11	93
SPT21	34	704
RTP1	19	323
VTI1	6	30
CIK1	23	307
ROT1	5	35
TOM40	2	3
ERG12	13	228
DML1	12	99
CEF1	19	315
TRS130	14	65
ERG8	9	127
TAF7	12	135
RRP5	22	185
RNA1	8	155
TAF9	0	0
RNT1	19	128
CUS1	54	1225
TIF11	1	0
PRP24	1	0
RRN9	13	102
FCP1	7	67
GPI12	0	0
HSH155	15	257
HAS1	6	63
YMR290W-A	1	0
LCB1	7	104
LIP1	0	0
ATM1	25	364
PSE1	13	256
NIP1	20	511
PRE5	2	2
RLP7	12	111
LST8	3	6
SIS1	6	16
ARK1	117	3575
KSH1	5	93
SAM50	5	25
GPI15	13	163
BDP1	29	394
NOP2	15	185
GCD10	14	837
IMP4	7	104
TOP2	25	345
POL1	35	788
MET4	17	407
NOP15	0	0
DBP2	40	647
RPC19	3	5
YNL114C	4	4
DCP2	17	226
NAF1	15	322
SPC98	17	100
TOM22	1	0
KRE33	18	222
NAM9	50	938
YSF3	2	2
PGA2	1	0
YNL150W	4	24
RPC31	9	274
INN1	11	122
PGA1	2	1
CBK1	16	301
RPL42A	8	111
RIA1	26	297
APC1	36	565
RPS3	0	0
YNL181W	9	52
IPI3	7	74
KAR1	6	55
SRP1	4	5
RIO2	6	9
RAP1	23	765
POP1	23	401
SSU72	2	57
CSL4	13	90
NAR1	28	377
SUI1	5	69
CWC25	5	96
YNL247W	12	63
NRD1	19	175
FOL1	4	128
DSL1	5	51
LTO1	5	54
ORC5	1	0
POL2	53	898
YIF1	15	178
PIK1	10	107
SEC2	14	211
POP3	11	112
SEC21	15	229
RFC3	4	26
MRPS18	10	88
KRI1	5	16
ZIM17	12	157
RFA2	6	11
EMW1	26	328
PFS2	12	128
RPC34	33	407
PRP2	45	890
ACC1	60	1441
TIM23	13	111
SEC12	34	893
ARC35	5	61
DBP6	20	318
MVD1	4	16
TRM112	9	53
NOG2	12	241
ESF2	10	25
RPB11	2	1
RCL1	15	375
DIS3	22	397
TSR4	9	122
MIM1	22	451
SMC5	30	593
PRE6	6	94
RPS15	3	10
RIB2	34	642
NUF2	11	346
BRX1	14	259
AVO1	43	741
RFC4	4	51
WRS1	14	193
TPT1	3	2
RPL18A	17	252
HRP1	6	20
RPL25	1	0
ALR1	18	202
HRT1	2	2
YOL134C	19	357
MED7	6	67
CDC33	0	0
NOP8	17	103
PSF3	2	26
DCP1	4	62
UTP23	28	290
HSP10	2	8
DBP5	22	309
RAT1	6	56
NOB1	28	293
SGT1	22	320
SLD7	33	604
RPL3	4	17
CDC21	19	250
UFE1	3	6
RTS2	30	286
RKI1	5	41
NUP1	27	218
YOR102W	1	0
OST2	0	0
VAM3	17	159
TFC7	13	119
RPO31	21	179
RPT5	10	99
RIO1	7	58
PFY1	2	41
THI80	6	42
YOR146W	1	0
SPP2	6	15
SMP3	1	0
RPB2	23	232
PDR5	51	1312
PUP1	10	137
SME1	2	55
MTR10	28	287
GLN4	29	354
YOR169C	2	1
MED4	12	67
HEM15	17	400
LAS17	5	36
TOA1	0	0
YOR203W	19	355
DED1	15	388
NOC2	8	168
RET1	21	193
RPB10	0	0
RFC1	25	306
YOR218C	2	2
RPB8	7	71
