Gene name	Number of transposons per gene	Number of reads per gene
TFA2	0	0
LAS1	20	710
BET3	17	553
DRE2	24	739
TRZ1	36	1504
RPF2	18	599
DAD2	6	126
PRP16	58	1873
SFI1	52	3290
ORC3	27	338
DRS1	41	1381
SOF1	44	1703
DPS1	24	739
GPI13	39	1356
RIX7	28	530
GRC3	18	538
PRP19	6	90
YLL037W	15	334
COF1	10	581
NOC3	29	457
SSL1	30	925
NSE1	45	1451
PAM18	5	11
RLP24	4	7
TEN1	1	0
GAT3	16	410
SDO1	27	768
SED5	7	209
RPL15A	5	50
RSC58	7	39
STU2	57	2005
FCF2	21	1142
REX2	88	8593
FRS1	37	842
SPC3	7	87
RGR1	58	1513
RPL10	4	31
YLR076C	2	2
BOS1	15	418
SMC4	47	1084
GAA1	43	1519
HRT3	26	879
MIM2	11	96
ERG27	19	278
YLR101C	10	220
CDC45	16	429
SEN2	15	288
MDN1	147	4712
CFT2	24	590
MSL5	22	626
CLF1	49	1951
APC2	30	956
DIP2	32	787
USB1	12	77
YLR140W	24	1448
RRN5	18	276
RMP1	9	86
SMD3	5	82
ACS2	45	1746
MAS1	21	610
SEC10	26	652
RPS31	9	99
CBF5	22	742
EMG1	13	285
NMT1	3	2
PWP1	50	1989
NOP56	8	89
YLR198C	3	5
SEC13	20	601
TUB4	16	466
CDC123	14	319
CCC1	25	855
UTP13	23	690
IFH1	62	3057
CDC42	4	47
YLR230W	5	101
GPN3	6	30
YEF3	27	1036
HSP60	13	271
YCS4	36	1172
MCM5	33	962
SMD2	11	118
DBP9	2	1
YSH1	32	493
GCD7	11	194
YHC1	17	918
STT4	82	2719
CDC25	67	3055
CDC3	34	1076
TAD3	21	490
YLR317W	5	76
SFH1	31	1306
CWC24	19	724
RPS25B	14	265
SGD1	39	1440
YLR339C	0	0
RPP0	1	0
RPL26A	25	564
KAP95	31	1058
ILV5	41	1020
ADE13	11	55
STP3	36	2410
SEC61	28	649
YLR379W	8	279
AFG2	27	848
SFP1	49	1402
UTP21	40	1189
SPP382	30	652
SEN1	58	1412
LSM3	3	3
SEC39	14	589
NBP1	19	686
YLR458W	8	66
GAB1	0	0
SPT5	66	3468
TAF11	10	131
NSE5	33	1180
YML6	29	700
NDC1	39	1661
RRN11	8	94
PRP39	21	400
RSE1	92	5382
TEM1	12	221
ORC1	43	1409
ITT1	34	1931
POB3	12	370
BET5	7	118
TUB1	20	300
RPM2	64	2206
PRE8	2	1
UTP14	71	2897
TAF13	2	2
SEC65	6	16
TAF8	25	894
PGA3	21	688
ERG13	38	870
RSC9	30	788
MSC1	59	2424
ERO1	33	895
CDC5	20	429
TAF4	17	286
SEC59	29	1184
TAP42	14	489
HOF1	57	3731
ARP9	9	134
MCM1	11	237
NUP116	58	1860
ERB1	25	345
SEN15	4	96
RNA14	26	427
MOT3	18	86
TVP18	17	1587
PDS5	40	1548
SEC14	7	205
UTP15	29	1101
CTF13	13	561
MED11	9	160
FOL3	27	859
SPC24	5	43
ECM16	65	2405
RRB1	23	468
YMR134W	26	622
PSO2	59	2855
TIF34	24	871
SWP1	17	290
MSS11	39	1335
CEP3	30	1098
SPT21	67	2916
RTP1	39	1466
VTI1	7	120
CIK1	33	1133
ROT1	16	480
TOM40	6	268
ERG12	24	568
DML1	13	242
CEF1	30	1416
TRS130	32	690
ERG8	27	371
TAF7	18	360
RRP5	63	1514
RNA1	22	546
TAF9	3	23
RNT1	29	695
CUS1	49	3277
TIF11	4	17
PRP24	8	209
RRN9	19	504
FCP1	28	383
GPI12	6	93
HSH155	39	1178
HAS1	14	249
YMR290W-A	11	121
LCB1	23	665
LIP1	5	40
ATM1	34	1082
PSE1	36	868
NIP1	31	1166
PRE5	9	257
RLP7	7	173
LST8	8	60
SIS1	10	96
ARK1	95	5720
KSH1	10	344
SAM50	12	215
GPI15	14	305
BDP1	25	1484
NOP2	35	1399
GCD10	32	2386
IMP4	12	187
TOP2	37	1324
POL1	98	4338
MET4	21	343
NOP15	7	57
DBP2	86	2095
RPC19	1	0
YNL114C	6	178
DCP2	41	1158
NAF1	27	861
SPC98	43	1765
TOM22	0	0
KRE33	27	1225
NAM9	41	2068
YSF3	12	256
PGA2	5	6
YNL150W	4	5
RPC31	17	563
INN1	15	515
PGA1	8	45
CBK1	55	2341
RPL42A	13	330
RIA1	57	1542
APC1	80	2662
RPS3	1	0
YNL181W	19	302
IPI3	18	366
KAR1	6	99
SRP1	6	103
RIO2	13	94
RAP1	61	2434
POP1	48	1477
SSU72	5	27
CSL4	17	685
NAR1	27	822
SUI1	13	138
CWC25	8	132
YNL247W	37	1021
NRD1	33	613
FOL1	32	1250
DSL1	53	2649
LTO1	9	508
ORC5	7	115
POL2	118	4098
YIF1	15	343
PIK1	37	1055
SEC2	25	609
POP3	32	2069
SEC21	45	1278
RFC3	14	512
MRPS18	20	143
KRI1	10	232
ZIM17	19	886
RFA2	4	9
EMW1	29	954
PFS2	26	537
RPC34	25	699
PRP2	71	2754
ACC1	121	4009
TIM23	12	353
SEC12	38	1840
ARC35	16	606
DBP6	39	1014
MVD1	9	91
TRM112	7	110
NOG2	16	313
ESF2	20	612
RPB11	2	3
RCL1	26	1071
DIS3	53	1757
TSR4	9	106
MIM1	13	286
SMC5	64	2074
PRE6	11	292
RPS15	13	250
RIB2	42	1450
NUF2	24	761
BRX1	28	1049
AVO1	68	2828
RFC4	20	563
WRS1	25	503
TPT1	8	167
RPL18A	17	397
HRP1	15	107
