Gene name	Number of transposons per gene	Number of reads per gene
VRG4	21	121
SEC15	37	210
CSE1	66	553
YGL239C	5	11
GUS1	30	409
BRR6	8	62
SWC4	14	51
TFG2	13	39
SEC9	22	91
SNU71	22	139
THG1	7	58
ERV1	23	87
POP6	7	11
TAM41	12	25
TFC4	55	425
UFD1	20	241
ERG25	27	261
VHT1	53	466
YGR073C	3	2
SMD1	0	0
PRP38	3	3
TOM20	14	153
GCD2	31	320
UTP22	25	180
PRP31	35	226
VAS1	86	1176
RRP46	8	53
ESP1	50	330
TEL2	28	336
NOP7	24	160
DAM1	14	113
YGR114C	1	0
YGR115C	7	14
SPT6	69	838
NUP57	36	320
COG2	8	9
UTP8	12	31
CBF2	41	483
ENP2	46	379
NAT2	17	110
PTI1	11	59
MTR3	9	152
YIP1	10	37
ERG1	26	85
OKP1	28	246
TYS1	18	238
TFG1	26	204
YGR190C	1	0
HIP1	39	456
SKI6	9	51
YPP1	32	307
ZPR1	41	372
GPI1	21	206
CRM1	44	506
LSC2	40	523
SDA1	62	622
BRF1	36	313
NOP19	14	88
PUP2	27	237
MES1	39	534
YGR265W	12	114
FOL2	22	141
TAF1	53	352
CAB4	12	20
CWC22	28	171
PXR1	10	34
PAU12	10	46
RPS20	0	0
ARN2	30	245
TIM10	10	50
ERG11	23	183
SPO13	11	23
DED81	38	477
YHR020W	45	308
MYO1	70	841
MAS2	23	85
BRL1	26	243
BCD1	44	469
NCP1	51	357
CPR2	33	365
MED6	18	229
RPP1	11	66
RRP3	40	411
DYS1	43	632
RRP4	15	59
TRM5	35	413
ERG7	42	252
NOP10	0	0
QNS1	51	442
KSP1	60	473
SAM35	24	309
STE12	50	574
IPI1	6	9
NAM8	39	369
RPF1	8	8
SFB3	69	532
BIG1	9	21
CDC12	9	19
ORC6	32	148
YHR122W	23	157
RPC10	0	0
IMP3	29	310
DNA2	57	488
CDC23	58	555
NMD3	31	197
SPC97	33	174
KOG1	84	1427
GPI16	50	521
ERG9	29	399
UTP9	46	606
RIX1	24	315
CFD1	31	202
BET1	9	22
FAF1	33	274
RPB3	30	345
TIM44	18	157
IRR1	62	448
ULP2	67	767
MET30	51	754
NEO1	35	270
MMF1	2	2
SNP1	6	68
ARC15	7	55
YRB2	29	140
SEC6	48	376
RPN2	78	843
THS1	40	443
CAB2	17	129
UTP25	63	778
SHQ1	36	444
MOB1	9	27
SEC24	83	1167
NUP159	110	1351
RHO3	24	275
STH1	45	226
TAO3	139	1691
CCT2	44	454
SSL2	56	757
NDC80	42	400
SLN1	51	706
MCM10	39	565
DJP1	14	45
PAN1	77	602
PRI1	14	154
DSN1	22	294
STS1	15	73
SQT1	39	442
RPR2	6	18
SEC11	5	27
PRE3	11	70
OST1	14	101
CYR1	126	1230
CCT8	38	429
YJL009W	9	57
NOP9	25	155
RPC17	6	27
CCT3	12	210
YJL015C	13	64
MPS3	40	213
RRN7	41	448
RNR2	37	294
BET4	6	7
YJL032W	1	0
HCA4	32	166
KAR2	29	249
TAD2	12	66
NUP192	54	319
NSP1	13	54
MTR4	96	1061
TIM54	34	392
NUP82	22	188
UTP18	39	535
PSF2	24	207
SMC3	51	454
NET1	79	933
ARP4	13	60
EXO70	42	423
YJL086C	4	3
TRL1	19	124
DPB11	36	276
GWT1	23	144
PHS1	19	171
PAM16	3	8
IME2	44	546
UTP10	99	983
CCT7	25	87
ASF1	15	100
MTC1	25	190
GCD14	37	290
TIM17	15	98
SSY5	39	491
FAR1	61	697
TPK1	28	208
ERG20	22	270
RFA3	0	0
KRE9	8	64
CDC6	17	161
YJL195C	8	7
YJL202C	13	74
PRP21	21	232
MPP10	18	164
MRX12	37	236
POL31	5	8
SUI2	11	29
YJR012C	17	145
GPI14	20	63
ILV3	26	295
ESS1	18	148
LSM8	3	7
YJR023C	4	11
URB2	39	312
NUP85	30	246
SSC1	1	0
TAH11	22	180
CDC8	15	31
CCT5	60	917
ARP3	36	387
YAE1	10	25
RFC2	19	157
NPA3	39	272
CDC11	25	261
FIP1	13	139
SFC1	15	115
NNF1	16	53
RPS5	1	0
YJR141W	7	29
AUR1	37	429
SFT1	14	33
PRP40	22	207
