Gene name	Number of transposons per gene	Number of reads per gene
CBF2	47	2430
ENP2	48	2607
NAT2	23	1054
PTI1	13	348
MTR3	16	215
YIP1	8	256
ERG1	13	244
OKP1	30	1513
TYS1	21	961
TFG1	27	700
YGR190C	2	1
HIP1	19	618
SKI6	10	403
YPP1	22	547
ZPR1	22	1003
GPI1	17	341
CRM1	46	1319
LSC2	73	3859
SDA1	51	1488
BRF1	26	752
NOP19	13	382
PUP2	12	494
MES1	32	1409
YGR265W	21	2225
FOL2	10	242
TAF1	38	1073
CAB4	7	101
CWC22	29	1111
PXR1	14	220
PAU12	22	599
RPS20	1	0
ARN2	53	3079
TIM10	15	1059
ERG11	18	506
SPO13	32	1249
DED81	27	797
YHR020W	34	712
MYO1	71	2959
MAS2	15	290
BRL1	33	1786
BCD1	42	2629
NCP1	36	787
CPR2	45	3579
MED6	25	1158
RPP1	8	111
RRP3	31	917
DYS1	36	943
RRP4	18	239
TRM5	20	1010
ERG7	28	803
NOP10	0	0
QNS1	37	1339
KSP1	74	3563
SAM35	12	299
STE12	63	2857
IPI1	7	113
NAM8	59	4508
RPF1	5	35
SFB3	73	2907
BIG1	7	151
CDC12	5	49
ORC6	12	385
YHR122W	26	1196
RPC10	0	0
IMP3	17	702
DNA2	56	1775
CDC23	48	2795
NMD3	19	623
SPC97	44	2173
KOG1	60	3362
GPI16	30	1392
ERG9	19	591
UTP9	42	1891
RIX1	14	736
CFD1	33	3503
BET1	5	36
FAF1	22	913
RPB3	23	755
TIM44	15	379
IRR1	53	1504
ULP2	95	4580
MET30	48	2344
NEO1	33	1254
MMF1	36	1339
SNP1	19	536
ARC15	4	30
YRB2	11	238
SEC6	44	1482
RPN2	50	2115
THS1	31	1421
CAB2	13	349
UTP25	43	1175
SHQ1	38	818
MOB1	8	247
SEC24	57	2483
NUP159	78	2714
RHO3	16	844
STH1	44	1569
TAO3	124	4226
CCT2	36	1355
SSL2	54	2901
NDC80	32	1513
SLN1	34	1685
MCM10	35	1616
DJP1	71	4398
PAN1	199	13224
PRI1	10	186
DSN1	34	974
STS1	15	383
SQT1	26	1248
RPR2	7	66
SEC11	3	74
PRE3	11	244
OST1	11	541
CYR1	110	4714
CCT8	27	1416
YJL009W	19	1552
NOP9	32	999
RPC17	5	123
CCT3	13	266
YJL015C	51	7546
MPS3	77	4777
RRN7	25	1002
RNR2	23	1582
BET4	9	22
YJL032W	4	7
HCA4	30	860
KAR2	24	516
TAD2	18	287
NUP192	37	452
NSP1	8	67
MTR4	56	3182
TIM54	25	971
NUP82	20	741
UTP18	31	811
PSF2	12	300
SMC3	38	1550
NET1	106	4846
ARP4	9	423
EXO70	36	967
YJL086C	29	1186
TRL1	11	372
DPB11	31	1298
GWT1	14	577
PHS1	11	383
PAM16	7	54
IME2	58	2755
UTP10	76	3720
CCT7	12	101
ASF1	19	875
MTC1	37	860
GCD14	24	594
TIM17	15	335
SSY5	41	2082
FAR1	98	5847
TPK1	47	3071
ERG20	12	237
RFA3	0	0
KRE9	4	43
CDC6	11	351
YJL195C	2	6
YJL202C	13	503
PRP21	20	1163
MPP10	59	2998
MRX12	161	11233
POL31	7	78
SUI2	30	1555
YJR012C	56	3617
GPI14	10	138
ILV3	55	2338
ESS1	14	701
LSM8	5	133
YJR023C	5	59
URB2	30	1600
NUP85	29	912
SSC1	11	230
TAH11	12	242
CDC8	8	195
CCT5	58	1886
ARP3	24	844
YAE1	5	43
RFC2	13	180
NPA3	49	2587
CDC11	28	978
FIP1	16	812
SFC1	38	3010
NNF1	12	168
RPS5	1	0
YJR141W	6	110
AUR1	43	2399
SFT1	28	1557
PRP40	37	1841
ARC19	1	0
URB1	90	3394
SWD2	15	242
RAM2	16	517
MAK11	47	4115
CDC16	80	5873
URA6	11	349
TFA1	31	1811
TTI1	47	1525
UGP1	31	865
YKL036C	62	4058
SPC42	14	427
PRI2	29	1107
CSE4	12	118
ASK1	56	3141
TOA2	4	8
MPE1	45	2258
FBA1	9	129
DHR2	17	663
RRP14	20	415
YKL083W	5	6
CAB3	37	1274
MIF2	5	21
YJU2	9	301
UTP11	17	300
HSL1	82	1781
GFA1	26	908
SLD2	20	663
YKL111C	17	578
ABF1	39	1365
SRP21	10	94
RRN3	23	559
HSK3	3	30
SDH3	14	111
RPC25	5	151
RPT1	11	270
GPM1	9	143
YKL153W	6	97
SRP102	12	307
MCD4	48	1764
TPK3	42	2302
EBP2	12	136
SNU114	31	595
RPL17A	2	6
FAS1	65	2846
MTR2	14	392
HYM1	26	1009
ACP1	6	268
SDS22	13	177
MIA40	9	190
YKT6	6	78
TOR2	123	5192
LOS1	83	4365
UBA1	27	663
PAP1	22	1351
ECM9	38	1220
RSC4	34	965
NTR2	16	151
RPC37	8	621
SPC34	19	901
KAE1	21	664
RPS21A	21	730
TFA2	0	0
LAS1	20	698
BET3	18	790
DRE2	15	481
TRZ1	41	1201
RPF2	16	466
DAD2	6	65
PRP16	57	2628
SFI1	45	2698
ORC3	21	430
DRS1	38	1493
SOF1	37	1165
DPS1	31	965
GPI13	32	1463
RIX7	19	661
GRC3	23	1397
PRP19	5	141
YLL037W	13	318
COF1	9	209
NOC3	34	787
SSL1	27	696
NSE1	34	1330
PAM18	2	12
RLP24	1	0
TEN1	0	0
GAT3	22	508
SDO1	14	390
SED5	9	258
RPL15A	6	91
RSC58	6	38
STU2	51	2105
FCF2	23	635
REX2	85	8245
FRS1	34	1643
SPC3	9	182
RGR1	72	3111
RPL10	3	67
YLR076C	2	1
BOS1	12	424
SMC4	46	1596
GAA1	37	1709
HRT3	20	1400
MIM2	7	76
ERG27	19	307
YLR101C	21	303
CDC45	16	376
SEN2	11	536
MDN1	148	6372
CFT2	19	246
MSL5	20	537
CLF1	56	2284
APC2	35	1154
DIP2	25	339
USB1	7	23
YLR140W	20	809
RRN5	27	506
RMP1	6	203
SMD3	5	26
ACS2	33	960
MAS1	18	671
SEC10	25	575
RPS31	7	225
CBF5	22	1038
EMG1	7	197
NMT1	5	59
PWP1	39	1445
NOP56	11	198
YLR198C	5	8
SEC13	23	1108
TUB4	24	932
CDC123	10	384
CCC1	28	909
UTP13	30	1211
IFH1	63	3571
CDC42	7	68
YLR230W	6	68
GPN3	8	50
YEF3	27	1119
HSP60	14	341
YCS4	40	1106
MCM5	31	711
SMD2	5	165
DBP9	3	33
YSH1	32	767
GCD7	13	299
YHC1	19	1015
STT4	79	2600
CDC25	70	2097
CDC3	30	1229
TAD3	27	954
YLR317W	11	171
SFH1	31	1786
CWC24	19	455
RPS25B	8	33
SGD1	34	961
YLR339C	0	0
RPP0	2	2
RPL26A	14	349
KAP95	22	1192
ILV5	32	1125
ADE13	11	226
STP3	30	1545
SEC61	25	695
YLR379W	8	88
AFG2	27	741
SFP1	48	1886
UTP21	38	993
SPP382	29	730
SEN1	64	1932
LSM3	1	0
SEC39	8	65
NBP1	21	438
YLR458W	11	296
GAB1	0	0
SPT5	71	3152
TAF11	12	240
NSE5	42	1625
YML6	25	530
NDC1	27	917
RRN11	14	567
PRP39	15	178
RSE1	79	5302
TEM1	14	152
ORC1	45	1753
ITT1	35	1217
POB3	12	250
BET5	5	34
TUB1	18	350
RPM2	49	1142
PRE8	2	4
UTP14	64	3001
TAF13	2	6
SEC65	4	9
TAF8	27	1620
PGA3	18	992
ERG13	34	1094
RSC9	24	662
MSC1	61	3318
ERO1	33	1439
CDC5	15	614
TAF4	27	741
SEC59	23	738
TAP42	14	322
HOF1	56	3426
ARP9	6	115
MCM1	19	638
NUP116	57	2281
ERB1	21	721
SEN15	7	137
RNA14	21	214
MOT3	17	105
TVP18	15	621
PDS5	43	1408
SEC14	7	216
UTP15	24	601
CTF13	14	781
MED11	8	128
FOL3	30	1670
SPC24	8	242
ECM16	54	1572
RRB1	26	425
YMR134W	20	766
PSO2	69	3362
TIF34	15	683
SWP1	17	431
MSS11	51	1335
CEP3	30	1552
SPT21	67	3605
RTP1	35	1149
VTI1	7	126
CIK1	27	737
ROT1	11	505
TOM40	3	34
ERG12	26	1055
DML1	16	267
CEF1	39	2404
TRS130	31	952
ERG8	19	887
TAF7	22	913
RRP5	59	1797
RNA1	11	185
TAF9	2	19
RNT1	25	753
CUS1	56	4987
TIF11	5	24
PRP24	9	279
