Gene name	Number of transposons per gene	Number of reads per gene
LRE1	80	5784
APA1	37	2639
YCL049C	47	1529
YCL048W-A	15	119
SPS22	59	5939
POF1	37	1315
EMC1	89	5152
YCL046W	13	146
MGR1	69	3645
PDI1	44	2144
YCL041C	67	921
YCL042W	48	2406
GLK1	136	12580
GID7	111	5876
ATG22	64	3516
SRO9	47	2753
GFD2	122	11799
GRX1	20	577
LSB5	74	4893
MXR2	26	1922
STE50	45	3932
RRP7	31	1014
HIS4	158	9673
BIK1	106	5987
RNQ1	65	5723
FUS1	56	3338
HBN1	29	821
FRM2	38	2622
AGP1	143	13481
YCL023C	50	3851
KCC4	173	8868
YCL022C	27	914
YCL021W-A	40	2424
LEU2	108	5612
NFS1	23	458
DCC1	59	2684
BUD3	239	11529
YCL012C	41	1276
GBP2	90	5643
SGF29	54	3908
ILV6	113	7525
STP22	106	5700
CWH36	24	1637
VMA9	9	162
LDB16	63	2532
PGS1	41	2727
YCL002C	96	5827
RER1	42	894
YCL001W-A	22	390
YCL001W-B	11	800
YCR001W	33	1942
CDC10	8	71
MRPL32	21	307
YCP4	30	1109
CIT2	117	9543
YCR006C	217	20524
YCR007C	60	3461
SAT4	93	4116
RVS161	15	221
ADY2	69	5158
ADP1	189	17289
PGK1	3	33
YCR013C	4	500
POL4	103	6155
CTO1	49	2643
YCR016W	34	1994
CWH43	80	3484
SRD1	10	226
YCR018C-A	69	1646
MAK32	88	6118
PET18	33	2095
MAK31	15	336
HTL1	0	0
HSP30	87	7051
YCR022C	72	5036
YCR023C	101	8016
SLM5	34	1151
YCR024C-B	13	738
PMP1	7	54
YCR025C	83	4797
NPP1	103	4373
RHB1	20	368
FEN2	46	2605
RIM1	6	18
SYP1	81	3636
RPS14A	28	928
BPH1	201	9280
SNT1	139	10603
ELO2	13	616
RRP43	3	55
RBK1	66	4175
PHO87	75	5209
BUD5	47	1458
YCR038W-A	5	80
MATALPHA2	9	12
MATALPHA1	51	975
YCR041W	13	419
TAF2	66	2722
YCR043C	36	2371
PER1	25	1785
RRT12	72	3509
YCR045W-A	25	763
IMG1	17	387
BUD23	13	251
YCR047W-A	1	0
YCR049C	33	1521
ARE1	101	7862
YCR050C	17	607
YCR051W	37	2350
RSC6	14	608
THR4	35	1643
CTR86	39	1361
PWP2	41	1968
YIH1	52	2583
TAH1	23	1375
YCR061W	205	22073
YCR064C	42	3954
BUD31	38	879
HCM1	52	2642
RAD18	30	701
SED4	95	5289
ATG15	78	4630
CPR4	38	2050
IMG2	14	531
RSA4	33	547
SSK22	128	12100
SOL2	41	1946
ERS1	34	1633
YCR075W-A	6	164
FUB1	31	2535
PAT1	37	1193
PTC6	53	2128
SRB8	154	17413
YCR081C-A	17	1999
AHC2	9	326
TRX3	14	308
TUP1	20	689
YCR085W	18	421
CSM1	20	454
YCR087W	13	729
YCR087C-A	11	617
ABP1	71	2697
FIG2	93	5147
YCR090C	16	818
KIN82	85	6083
MSH3	80	4271
CDC39	99	4148
CDC50	50	2851
OCA4	27	1097
YCR095W-A	4	48
HMRA2	8	13
HMRA1	4	10
YCR097W-A	1	0
GIT1	51	2615
YCR099C	19	1057
YCR100C	39	2325
YCR101C	26	1650
YCR102C	71	4340
YCR102W-A	2	2
PAU3	21	391
ADH7	66	4044
RDS1	87	6801
AAD3	59	3224
YCR108C	20	1016
COS7	39	888
YDL247W-A	4	121
MPH2	100	3190
SOR2	77	2053
HXT15	99	4556
THI13	88	2939
AAD4	44	1933
YDL242W	17	775
YDL241W	11	490
YDL240C-A	28	1779
LRG1	63	1609
ADY3	32	1364
GUD1	38	1992
AIM6	25	759
PHO13	17	505
YPD1	2	14
GYP7	61	3659
MFG1	28	1355
OST4	5	9
BRE4	63	2998
PTP1	37	1279
SSB1	34	912
YDL228C	14	206
HO	87	4380
GCS1	16	495
SHS1	36	1519
WHI4	45	3279
HBT1	151	10443
FMP45	35	1528
YDL221W	56	5468
CDC13	56	4946
DTD1	3	77
YDL218W	34	1342
TIM22	6	58
RRI1	31	1694
GDH2	103	8251
PRR2	68	3102
NOP6	28	1194
SHR3	7	263
YDL211C	36	1484
UGA4	61	4307
CWC2	7	161
NHP2	4	52
GLE1	17	1053
YDL206W	49	2337
HEM3	25	1366
RTN2	46	3357
ACK1	55	2026
MRPL11	7	165
TRM8	29	1806
MGT1	20	817
YDL199C	48	2668
GGC1	5	27
ASF2	58	2577
YDL196W	45	3391
SEC31	25	948
SNF3	47	1836
NUS1	11	370
ARF1	9	296
RPL35A	16	209
UFD2	76	2691
RBS1	25	930
PPH22	49	2526
YDL187C	5	34
YDL186W	15	454
YDL185C-A	12	495
VMA1	50	2416
RPL41A	4	54
YDL183C	35	1850
LYS20	62	3792
INH1	4	6
YDL180W	37	1334
PCL9	20	640
DLD2	62	1737
YDL177C	30	1327
YDL176W	56	2865
AIR2	26	1028
DLD1	72	5028
PAR32	19	569
YDL172C	10	83
GLT1	202	16344
UGA3	48	3429
UGX2	25	835
SFA1	54	3890
NRP1	1	0
FAP7	7	142
CDC36	14	121
CDC9	34	1891
YDL163W	14	769
YDL162C	33	2571
ENT1	34	951
MHF2	6	357
DHH1	48	1365
YDL159W-A	16	533
STE7	46	2327
YDL159C-B	3	75
YDL158C	10	362
YDL157C	9	301
CMR1	57	3832
CLB3	41	3326
MSH5	87	4941
SAS10	18	234
YDL152W	13	539
BUD30	3	3
RPC53	12	326
ATG9	72	2850
NOP14	56	2315
RPN5	11	287
LDB17	40	2046
COP1	36	789
YDL144C	45	2873
CCT4	16	505
CRD1	53	3758
BPL1	25	995
RPO21	65	2214
SCM3	9	243
RGT2	60	3997
ARF2	15	918
RPL35B	24	759
RDI1	19	801
PPH21	56	2946
RPL41B	4	43
SRF1	32	1255
CDC53	40	1698
LYS21	68	4855
STF1	9	367
RPP1B	11	369
YDL129W	23	1851
VCX1	46	1834
PCL2	56	3282
CDC48	31	1892
HNT1	8	73
YDL124W	33	1809
SNA4	21	808
UBP1	47	1620
EXP1	23	1166
YFH1	4	64
HEM25	27	1068
YDL118W	6	104
CYK3	49	1540
NUP84	24	444
IWR1	39	2754
YDL114W-A	2	1
YDL114W	22	629
ATG20	57	2432
TRM3	102	5722
RRP42	11	271
TMA17	16	411
YDL109C	56	2865
KIN28	11	428
MSS2	27	1009
PHO2	47	3215
